stage_id,commit,report_path,runtime_path,manifest_path,decision,evidence_level,authorizes_contract,authorizes_execution,authorizes_search,authorizes_alpha_proof,authorizes_shadow_paper_live,supersedes,superseded_by,current_status,notes,artifact_count
A7AB-5,3c67dec,reports/CRYPTO_A7AB5_NUMERIC_REPLAY_CONTRACT_20260529.md,runtime/a7ab5_numeric_replay_contract,runtime/a7ab5_numeric_replay_contract/a7ab5_manifest.json,PASS_A7AB5_NUMERIC_REPLAY_CONTRACT_READY_FOR_A7AB6_SMALL_REPLAY_PREFLIGHT,contract,True,True,False,False,False,,,valid_or_historical_record,,6
A7AB-6,3c67dec,reports/CRYPTO_A7AB6_SMALL_NUMERIC_REPLAY_PREFLIGHT_20260529.md,runtime/a7ab6_small_numeric_replay_preflight,runtime/a7ab6_small_numeric_replay_preflight/a7ab6_manifest.json,PASS_A7AB6_SMALL_NUMERIC_REPLAY_PREFLIGHT_CLUES_FOUND_EXECUTION_HOLD,hold,True,False,False,False,False,,,hold,,8
A7AB-7,3c67dec,reports/CRYPTO_A7AB7_CLUE_FORENSIC_CONTRACT_20260529.md,runtime/a7ab7_clue_forensic_contract,runtime/a7ab7_clue_forensic_contract/a7ab7_manifest.json,PASS_A7AB7_CLUE_FORENSIC_CONTRACT_READY_FOR_A7AB8,contract,True,True,False,False,False,,,valid_or_historical_record,,8
A7AB-8,0a08edc,reports/CRYPTO_A7AB8_CLUE_FORENSIC_EXECUTION_20260529.md,runtime/a7ab8_clue_forensic_execution,runtime/a7ab8_clue_forensic_execution/a7ab8_manifest.json,PASS_A7AB8_FORENSIC_SURVIVORS_FOUND_EXECUTION_HOLD,diagnostic,True,False,False,False,False,,,hold,,9
A7AB-9,0a08edc,reports/CRYPTO_A7AB9_SURVIVOR_FREEZE_CONTRACT_20260529.md,runtime/a7ab9_survivor_freeze_contract,runtime/a7ab9_survivor_freeze_contract/a7ab9_manifest.json,PASS_A7AB9_SURVIVOR_FREEZE_REPRESENTATIVE_POOL_WITH_WARNINGS,governance_or_audit,True,False,False,False,False,,,valid_or_historical_record,,7
A7AC-0,e729fda,reports/CRYPTO_A7AC0_REPRESENTATIVE_FORENSIC_CONTRACT_20260529.md,runtime/a7ac0_representative_forensic_contract,runtime/a7ac0_representative_forensic_contract/a7ac0_manifest.json,PASS_A7AC0_REPRESENTATIVE_FORENSIC_CONTRACT_READY_FOR_A7AC1_WITH_WARNINGS,contract,True,True,False,False,False,,,valid_or_historical_record,,11
A7AC-1,e729fda,reports/CRYPTO_A7AC1_REPRESENTATIVE_FORENSIC_EXECUTION_20260529.md,runtime/a7ac1_representative_forensic_execution,runtime/a7ac1_representative_forensic_execution/a7ac1_manifest.json,HOLD_A7AC1_REPRESENTATIVE_FORENSIC_PARTIAL_BLOCKERS,diagnostic,True,False,False,False,False,,,hold,,9
A7AC-1R,e729fda,reports/CRYPTO_A7AC1R_REPRESENTATIVE_QUARANTINE_CONTRACT_20260529.md,runtime/a7ac1r_representative_quarantine_contract,runtime/a7ac1r_representative_quarantine_contract/a7ac1r_manifest.json,PASS_A7AC1R_DIAGNOSTIC_SUBSET_FROZEN_READY_FOR_A7AC2_WITH_WARNINGS,diagnostic,True,False,False,False,False,,,valid_or_historical_record,,8
A7AC-2,d49b1d8,reports/CRYPTO_A7AC2_LABEL_DIVERSIFICATION_CONTRACT_20260529.md,runtime/a7ac2_label_diversification_contract,runtime/a7ac2_label_diversification_contract/a7ac2_manifest.json,PASS_A7AC2_LABEL_DIVERSIFICATION_CONTRACT_READY_FOR_A7AC3,contract,True,False,False,False,False,,,valid_or_historical_record,,11
A7AC-3,d49b1d8,reports/CRYPTO_A7AC3_LABEL_DIVERSIFICATION_DIAGNOSTIC_20260529.md,runtime/a7ac3_label_diversification_diagnostic,runtime/a7ac3_label_diversification_diagnostic/a7ac3_manifest.json,HOLD_A7AC3_PARTIAL_LABEL_DIVERSIFICATION,hold,False,False,False,False,False,,,hold,,11
A7AD-0,e05d94a,reports/CRYPTO_A7AD0_RANKED_LABEL_TRANSLATION_CONTRACT_20260529.md,runtime/a7ad0_ranked_label_translation_contract,runtime/a7ad0_ranked_label_translation_contract/a7ad0_manifest.json,PASS_A7AD0_RANKED_LABEL_TRANSLATION_CONTRACT_READY_FOR_A7AD1,contract,True,False,False,False,False,,,valid_or_historical_record,,6
A7AD-1,e05d94a,reports/CRYPTO_A7AD1_RANKED_LABEL_TRANSLATION_AUDIT_20260529.md,runtime/a7ad1_ranked_label_translation_audit,runtime/a7ad1_ranked_label_translation_audit/a7ad1_manifest.json,HOLD_A7AD1_RANKED_LABEL_TRANSLATION_TOO_NARROW,hold,False,False,False,False,False,,,hold,,8
A7AE-0,3e8440f,reports/CRYPTO_A7AE0_LABEL_ADEQUACY_EXTENSION_CONTRACT_20260529.md,runtime/a7ae0_label_adequacy_extension_contract,runtime/a7ae0_label_adequacy_extension_contract/a7ae0_manifest.json,PASS_A7AE0_LABEL_ADEQUACY_EXTENSION_CONTRACT_READY_FOR_A7AE1,contract,True,False,False,False,False,,,valid_or_historical_record,,6
A7AE-1,3e8440f,reports/CRYPTO_A7AE1_LABEL_ADEQUACY_RESPONSE_MAP_20260529.md,runtime/a7ae1_label_adequacy_response_map,runtime/a7ae1_label_adequacy_response_map/a7ae1_manifest.json,PASS_A7AE1_NON_RANK_LABEL_RESPONSE_CANDIDATES_FOUND_SEARCH_STILL_HOLD,hold,False,False,False,False,False,,,hold,,9
A7AE-2,3e8440f,reports/CRYPTO_A7AE2_LABEL_ADEQUACY_ROLE_REVIEW_20260529.md,runtime/a7ae2_label_adequacy_role_review,runtime/a7ae2_label_adequacy_role_review/a7ae2_manifest.json,PASS_A7AE2_LABEL_ADEQUACY_ROLES_READY_FOR_SELECTOR_REWRITE_REVIEW,governance_or_audit,False,False,False,False,False,,,valid_or_historical_record,,6
A7AF-0,169e482,reports/CRYPTO_A7AF0_ROLE_AWARE_SELECTOR_CONTRACT_20260529.md,runtime/a7af0_role_aware_selector_contract,runtime/a7af0_role_aware_selector_contract/a7af0_manifest.json,PASS_A7AF0_ROLE_AWARE_SELECTOR_CONTRACT_READY_FOR_A7AF1,contract,True,False,False,False,False,,,valid_or_historical_record,,7
A7AF-1,169e482,reports/CRYPTO_A7AF1_ROLE_AWARE_SELECTOR_DRYRUN_20260529.md,runtime/a7af1_role_aware_selector_dryrun,runtime/a7af1_role_aware_selector_dryrun/a7af1_manifest.json,PASS_A7AF1_ROLE_AWARE_SELECTOR_DRYRUN_READY_FOR_A7AG0_CONTRACT,contract,True,False,False,False,False,,,valid_or_historical_record,,6
A7AG-0,3c091df,reports/CRYPTO_A7AG0_ROLE_AWARE_GENERATION_CONTRACT_20260529.md,runtime/a7ag0_role_aware_generation_contract,runtime/a7ag0_role_aware_generation_contract/a7ag0_manifest.json,PASS_A7AG0_ROLE_AWARE_GENERATION_CONTRACT_READY_FOR_A7AG1_BLUEPRINT_DRYRUN,contract,True,False,False,False,False,,,valid_or_historical_record,,7
A7AG-1,7f892da,reports/CRYPTO_A7AG1_STATIC_BLUEPRINT_DRYRUN_20260529.md,runtime/a7ag1_static_blueprint_dryrun,runtime/a7ag1_static_blueprint_dryrun/a7ag1_manifest.json,PASS_A7AG1_STATIC_BLUEPRINT_DRYRUN_READY_FOR_A7AG2_NUMERIC_REPLAY_CONTRACT,contract,True,True,False,False,False,,,valid_or_historical_record,,7
A7AG-2,fd2b6f0,reports/CRYPTO_A7AG2_NUMERIC_REPLAY_CONTRACT_20260529.md,runtime/a7ag2_numeric_replay_contract,runtime/a7ag2_numeric_replay_contract/a7ag2_manifest.json,PASS_A7AG2_NUMERIC_REPLAY_CONTRACT_READY_FOR_A7AG3_PILOT,contract,True,True,False,False,False,,,valid_or_historical_record,,6
A7AG-3,97ff801,reports/CRYPTO_A7AG3_NUMERIC_REPLAY_PILOT_20260529.md,runtime/a7ag3_numeric_replay_pilot,runtime/a7ag3_numeric_replay_pilot/a7ag3_manifest.json,PASS_A7AG3_NUMERIC_REPLAY_PILOT_CLUES_FOUND_EXECUTION_STILL_HOLD,hold,True,False,False,False,False,,,hold,,7
A7AG-4,97ff801,reports/CRYPTO_A7AG4_CLUE_FORENSIC_CONTRACT_20260529.md,runtime/a7ag4_clue_forensic_contract,runtime/a7ag4_clue_forensic_contract/a7ag4_manifest.json,PASS_A7AG4_CLUE_FORENSIC_CONTRACT_READY_FOR_A7AG5,contract,True,False,False,False,False,,,valid_or_historical_record,,6
A7AG-5,97ff801,reports/CRYPTO_A7AG5_CLUE_FORENSIC_AUDIT_20260529.md,runtime/a7ag5_clue_forensic_audit,runtime/a7ag5_clue_forensic_audit/a7ag5_manifest.json,HOLD_A7AG5_NO_ORDINARY_LABEL_TRANSLATION,hold,False,False,False,False,False,,,hold,,7
A7AH-0,5b5ca07,reports/CRYPTO_A7AH0_CORE12_AGGTRADES_FINAL_HANDOFF_AUDIT_20260524.md,runtime/a7ah0_core12_aggtrades_final_handoff_audit,runtime/a7ah0_core12_aggtrades_final_handoff_audit/a7ah0_manifest.json,PASS_A7AH0_CORE12_AGGTRADES_FINAL_HANDOFF_ACCEPTED,governance_or_audit,True,False,False,False,False,,,valid_or_historical_record,,14
A7AH-0,5b5ca07,reports/CRYPTO_A7AH0_CORE12_AGGTRADES_FINAL_HANDOFF_AUDIT_20260524.md,runtime/a7ah0_post_a7ag_role_split_decision,runtime/a7ah0_post_a7ag_role_split_decision/a7ah0_manifest.json,PASS_A7AH0_POST_A7AG_ROLE_SPLIT_READY_FOR_A7AH1_A7AH2_CONTRACTS,contract,True,False,False,False,False,,,valid_or_historical_record,,8
A7AH-1,56215b3,reports/CRYPTO_A7AH1_ORDINARY_ALPHA_OBJECTIVE_REWRITE_CONTRACT_20260529.md,runtime/a7ah1_ordinary_alpha_objective_rewrite_contract,runtime/a7ah1_ordinary_alpha_objective_rewrite_contract/a7ah1_manifest.json,PASS_A7AH1_ORDINARY_ALPHA_OBJECTIVE_REWRITE_CONTRACT_READY_FOR_DRY_RERANK,alpha_claim_check_required,True,False,False,False,False,,,valid_or_historical_record,,5
A7AH-1D,56215b3,reports/CRYPTO_A7AH1D_ORDINARY_ALPHA_DRY_RERANK_20260529.md,runtime/a7ah1d_ordinary_alpha_dry_rerank,runtime/a7ah1d_ordinary_alpha_dry_rerank/a7ah1d_manifest.json,HOLD_A7AH1D_NO_ORDINARY_ALPHA_DRY_RERANK_CANDIDATES,alpha_claim_check_required,False,False,False,False,False,,,hold,,6
A7AH-2,56215b3,reports/CRYPTO_A7AH2_DOWNSIDE_RISK_DEFENSE_FORENSIC_CONTRACT_20260529.md,runtime/a7ah2_downside_risk_defense_forensic_contract,runtime/a7ah2_downside_risk_defense_forensic_contract/a7ah2_manifest.json,PASS_A7AH2_DOWNSIDE_RISK_DEFENSE_FORENSIC_CONTRACT_READY_FOR_A7AH2F,contract,True,False,False,False,False,,,valid_or_historical_record,,5
A7AH-2F,56215b3,reports/CRYPTO_A7AH2F_DOWNSIDE_RISK_DEFENSE_FORENSIC_AUDIT_20260529.md,runtime/a7ah2f_downside_risk_defense_forensic_audit,runtime/a7ah2f_downside_risk_defense_forensic_audit/a7ah2f_manifest.json,PASS_A7AH2F_DOWNSIDE_RISK_DEFENSE_REVIEW_CANDIDATES_FOUND,governance_or_audit,True,False,False,False,False,,,valid_or_historical_record,,5
A7AI-F0,b5f83ad,reports/CRYPTO_A7AIF0_FIELD_CONTRACT_ENFORCEMENT_LEDGER_20260529.md,runtime/a7aif0_field_contract_enforcement_ledger,runtime/a7aif0_field_contract_enforcement_ledger/a7aif0_manifest.json,PASS_A7AIF0_FIELD_CONTRACT_ENFORCEMENT_LEDGER_READY_FOR_A7AIF1,contract,True,False,False,False,False,,,current_valid_governance,A7AI field enforcement is synced to origin/main,7
A7AI-F1,b5f83ad,reports/CRYPTO_A7AIF1_ENGINE_ENFORCEMENT_GAP_AUDIT_20260529.md,runtime/a7aif1_engine_enforcement_gap_audit,runtime/a7aif1_engine_enforcement_gap_audit/a7aif1_manifest.json,PASS_A7AIF1_ENGINE_ENFORCEMENT_CONNECTED,governance_or_audit,False,False,False,False,False,,,current_valid_governance,A7AI field enforcement is synced to origin/main,5
A7AI-F2,8bad66e,reports/CRYPTO_A7AIF2_END_TO_END_FIELD_ENFORCEMENT_REGRESSION_20260529.md,runtime/a7aif2_field_enforcement_regression,runtime/a7aif2_field_enforcement_regression/a7aif2_manifest.json,PASS_A7AIF2_END_TO_END_ENFORCEMENT_CONNECTED,governance_or_audit,True,False,False,False,False,,,valid_or_historical_record,,7
A7AI-F3,8bad66e,reports/CRYPTO_A7AIF3_MATERIALIZATION_EVALUATOR_PARITY_20260529.md,runtime/a7aif3_materialization_evaluator_parity,runtime/a7aif3_materialization_evaluator_parity/a7aif3_manifest.json,PASS_A7AIF3_REPLAY_MATERIALIZATION_PARITY_READY,governance_or_audit,True,False,False,False,False,,,valid_or_historical_record,,7
A7AI-F4,d18f2d5,reports/CRYPTO_A7AIF4_RESPONSE_BACKED_FIELD_PROMOTION_20260529.md,runtime/a7aif4_response_backed_field_promotion,runtime/a7aif4_response_backed_field_promotion/a7aif4_manifest.json,PASS_A7AIF4_ORDINARY_ALPHA_SEEDS_FOUND,alpha_claim_check_required,True,False,False,False,False,,,valid_or_historical_record,,7
A7AI0,5b5ca07,reports/CRYPTO_A7AI0_CORE12_AGGTRADES_EXPERIMENT_CONTRACT_20260524.md,runtime/a7ai0_core12_aggtrades_experiment_contract,runtime/a7ai0_core12_aggtrades_experiment_contract/a7ai0_manifest.json,PASS_A7AI0_CORE12_AGGTRADES_EXPERIMENT_CONTRACT_READY,contract,False,False,False,False,False,,,valid_or_historical_record,,6
A7AI0R,d005e36,reports/CRYPTO_A7AI0R_CORE12_AGGTRADES_UNIFIED_FEATURE_BUILD_20260524.md,runtime/a7ai0r_core12_aggtrades_unified_feature_build,runtime/a7ai0r_core12_aggtrades_unified_feature_build/a7ai0r_manifest.json,PASS_A7AI0R_CORE12_AGGTRADES_UNIFIED_FEATURES_READY,governance_or_audit,False,False,False,False,False,,,valid_or_historical_record,,6
A7AJ,f56e049,reports/CRYPTO_A7AJ0_UNIVERSE500_SILVER_ACCEPTANCE_20260525.md,runtime/a7aj_universe500_silver_acceptance_panel_prep,,NO_DECISION_FIELD,governance_or_audit,False,False,False,False,False,,,valid_or_historical_record,,10
A7AK,a2e1d50,reports/CRYPTO_A7AK_LV0_LISTING_AGE_LATENT_VARIABLE_CONTRACT_20260526.md,runtime/a7ak_lv0_listing_age_latent_variable_contract,runtime/a7ak_lv0_listing_age_latent_variable_contract/a7ak_lv0_manifest.json,PASS_A7AK_LV0_CONTRACT_READY_FOR_USER_APPROVAL,contract,False,True,False,False,False,,,valid_or_historical_record,,10
A7AK,a2e1d50,reports/CRYPTO_A7AK_LV0_LISTING_AGE_LATENT_VARIABLE_CONTRACT_20260526.md,runtime/a7ak_lv1_latent_state_feature_build,runtime/a7ak_lv1_latent_state_feature_build/a7ak_lv1_manifest.json,PASS_A7AK_LV1_LATENT_STATE_FEATURES_READY,governance_or_audit,False,False,False,False,False,,,valid_or_historical_record,,7
A7AK,a2e1d50,reports/CRYPTO_A7AK_LV0_LISTING_AGE_LATENT_VARIABLE_CONTRACT_20260526.md,runtime/a7ak_lv2_response_merge_audit,runtime/a7ak_lv2_response_merge_audit/a7ak_lv2_manifest.json,PASS_A7AK_LV2_RESPONSE_MERGE_AUDIT_READY,governance_or_audit,False,False,False,False,False,,,valid_or_historical_record,,8
A7AK,a2e1d50,reports/CRYPTO_A7AK_LV0_LISTING_AGE_LATENT_VARIABLE_CONTRACT_20260526.md,runtime/a7ak_lv3_neutral_field_family_smoke,runtime/a7ak_lv3_neutral_field_family_smoke/a7ak_lv3_manifest.json,PASS_A7AK_LV3_NEUTRAL_FIELD_FAMILY_DIAGNOSTIC_READY,diagnostic,False,True,False,False,False,,,valid_or_historical_record,,6
A7AK,a2e1d50,reports/CRYPTO_A7AK_LV0_LISTING_AGE_LATENT_VARIABLE_CONTRACT_20260526.md,runtime/a7ak_lv3r_contract_meme_taxonomy_audit,runtime/a7ak_lv3r_contract_meme_taxonomy_audit/a7ak_lv3r_manifest.json,PASS_A7AK_LV3R_CONTRACT_MEME_TAXONOMY_READY,contract,False,False,False,False,False,,,valid_or_historical_record,,7
A7AL,b4af964,reports/CRYPTO_A7AL0_TOP498_LATENT_NEUTRAL_ALPHA_SEARCH_CONTRACT_20260527.md,runtime/a7al_universe498_replay_acceptance,,NO_DECISION_FIELD,governance_or_audit,False,False,False,False,False,,,valid_or_historical_record,,7
A7AL-2,6232a96,reports/CRYPTO_A7AL2_SMALL_FORMULA_SEARCH_CONTRACT_20260527.md,runtime/a7al2_small_formula_search_contract,runtime/a7al2_small_formula_search_contract/a7al2_manifest.json,PASS_A7AL2_CONTROL_DOMINANCE_CONTRACT_DRAFTED_EXECUTION_HOLD,contract,False,False,False,False,False,,,hold,,4
A7AL-2G,4a753fe,reports/CRYPTO_A7AL2G_MATCHED_CONTROL_GATE_20260527.md,runtime/a7al2g_matched_control_gate,runtime/a7al2g_matched_control_gate/a7al2g_manifest.json,PASS_A7AL2G_MATCHED_CONTROL_GATE_PREFLIGHT_EXECUTION_HOLD,hold,False,False,False,False,False,,,hold,,5
A7AL-2H,4a753fe,reports/CRYPTO_A7AL2H_SELECTOR_REPAIR_20260527.md,runtime/a7al2h_selector_repair,runtime/a7al2h_selector_repair/a7al2h_manifest.json,PASS_A7AL2H_SELECTOR_REPAIRED_READY_FOR_REPLAY_PREFLIGHT,governance_or_audit,True,True,False,False,False,,,valid_or_historical_record,,6
A7AL-2I,c525b91,reports/CRYPTO_A7AL2I_REPLAY_PREFLIGHT_20260527.md,runtime/a7al2i_replay_preflight,runtime/a7al2i_replay_preflight/a7al2i_manifest.json,HOLD_A7AL2I_NO_CLUES,hold,False,False,False,False,False,,,hold,,4
A7AL-2J,c525b91,reports/CRYPTO_A7AL2J_DERIVED_TOLERANT_SEARCH_RESET_20260527.md,runtime/a7al2j_derived_tolerant_search_reset,runtime/a7al2j_derived_tolerant_search_reset/a7al2j_manifest.json,PASS_A7AL2J_DERIVED_TOLERANT_RESET_READY_FOR_A7AL2K,governance_or_audit,True,False,False,False,False,,,valid_or_historical_record,,6
A7AL-2K,8886edb,reports/CRYPTO_A7AL2K_DERIVED_GENERATOR_SMOKE_20260527.md,runtime/a7al2k_derived_generator_smoke,runtime/a7al2k_derived_generator_smoke/a7al2k_manifest.json,PASS_A7AL2K_DERIVED_GENERATOR_SMOKE_READY_FOR_A7AL2L,smoke,True,True,False,False,False,,,valid_or_historical_record,,8
A7AL-2L,40620fe,reports/CRYPTO_A7AL2L_FAST_DERIVED_REPLAY_PREFLIGHT_20260527.md,runtime/a7al2l_fast_derived_replay_preflight,runtime/a7al2l_fast_derived_replay_preflight/a7al2l_fast_manifest.json,PASS_A7AL2L_DERIVED_REPLAY_PREFLIGHT_CLUES_FOUND_EXECUTION_HOLD,hold,False,False,False,False,False,,,hold,,5
A7AL-2M,2214e72,reports/CRYPTO_A7AL2M_DERIVED_CLUE_FORENSIC_20260527.md,runtime/a7al2m_derived_clue_forensic,runtime/a7al2m_derived_clue_forensic/a7al2m_manifest.json,PASS_A7AL2M_DERIVED_CLUE_POOL_READY_FOR_DEEP_AUDIT,governance_or_audit,True,False,False,False,False,,,valid_or_historical_record,,5
A7AL-2N,d5ed8d2,reports/CRYPTO_A7AL2N_DERIVED_DEEP_AUDIT_20260527.md,runtime/a7al2n_derived_deep_audit,runtime/a7al2n_derived_deep_audit/a7al2n_manifest.json,PASS_A7AL2N_DEEP_AUDIT_DIAGNOSTIC_CANDIDATES_FOUND,diagnostic,True,True,False,False,False,,,valid_or_historical_record,,12
A7AL-2O,fa24081,reports/CRYPTO_A7AL2O_CANDIDATE_MINI_REPLAY_20260527.md,runtime/a7al2o_candidate_mini_replay,runtime/a7al2o_candidate_mini_replay/a7al2o_manifest.json,PASS_A7AL2O_MINI_REPLAY_CANDIDATES_READY_FOR_CONTRACT,contract,True,False,False,False,False,,,valid_or_historical_record,,7
A7AL-2P0,eb62bda,reports/CRYPTO_A7AL2P0_PRE_SEARCH_HARDENING_AUDIT_20260527.md,runtime/a7al2p0_pre_search_hardening_audit,runtime/a7al2p0_pre_search_hardening_audit/a7al2p0_manifest.json,HOLD_A7AL2P0_PRE_SEARCH_HARDENING_BLOCKERS,hold,False,False,False,False,False,,,hold,,13
A7AL-2P0R,c7e7448,reports/CRYPTO_A7AL2P0R_REPAIR_RERUN_DECISION_20260528.md,runtime/a7al2p0r_repair_rerun_decision,runtime/a7al2p0r_repair_rerun_decision/a7al2p0r_manifest.json,HOLD_A7AL2P0R_REPAIR_RERUN_BLOCKED,hold,False,False,False,False,False,,,hold,,7
A7AL-2P1,40620fe,reports/CRYPTO_A7AL2P1_SELECTOR_FEATURE_GENERATION_20260528.md,runtime/a7al2p1_selector_feature_generation,runtime/a7al2p1_selector_feature_generation/a7al2p1_manifest.json,PASS_A7AL2P1_SELECTOR_FEATURES_READY_FOR_P0R_RETRY,governance_or_audit,False,False,False,False,False,,,valid_or_historical_record,,6
A7AL-2P1R,40620fe,reports/CRYPTO_A7AL2P1R_SELECTOR_REWEIGHTED_RETRY_20260528.md,runtime/a7al2p1r_selector_reweighted_retry,runtime/a7al2p1r_selector_reweighted_retry/a7al2p1r_manifest.json,PASS_A7AL2P1R_SELECTOR_REWEIGHTED_POOL_READY_FOR_P0R_RETRY,governance_or_audit,False,False,False,False,False,,,valid_or_historical_record,,4
A7AL-2P1S,40620fe,reports/CRYPTO_A7AL2P1S_SELECTED_POOL_PROVENANCE_AUDIT_20260528.md,runtime/a7al2p1s_selected_pool_provenance,,PASS_A7AL2P1S_SELECTED_POOL_PROVENANCE_CLEAN,governance_or_audit,False,False,False,False,False,,,valid_or_historical_record,,5
A7AL-2P1T,40620fe,reports/CRYPTO_A7AL2P1T_REPAIRED_POOL_RERUN_STATUS_20260528.md,runtime/a7al2p1t_repaired_pool_rerun_status,runtime/a7al2p1t_repaired_pool_rerun_status/a7al2p1t_manifest.json,PASS_A7AL2P1T_REPAIRED_POOL_READY_FOR_PROVENANCE_AUDIT,governance_or_audit,False,False,False,False,False,,,valid_or_historical_record,,5
A7AL-2P2,40620fe,reports/CRYPTO_A7AL2P2_LOCAL_OI_PRICE_SEARCH_CONTRACT_20260528.md,runtime/a7al2p2_local_oi_price_search_contract,runtime/a7al2p2_local_oi_price_search_contract/a7al2p2_manifest.json,PASS_A7AL2P2_LOCAL_OI_PRICE_SEARCH_CONTRACT_READY_FOR_A7AL2Q,contract,True,True,False,False,False,,A7AL-2X0,superseded_diagnostic,A7AL-2P2 superseded by A7AL-2X0 arbitration,7
A7AL-2Q,ce085c8,reports/CRYPTO_A7AL2Q_LOCAL_OI_PRICE_FORMULA_SEARCH_20260528.md,runtime/a7al2q_local_oi_price_formula_search,runtime/a7al2q_local_oi_price_formula_search/a7al2q_manifest.json,PASS_A7AL2Q_LOCAL_OI_PRICE_CANDIDATES_FOUND_EXECUTION_HOLD,hold,True,False,False,False,False,,A7AL-2X0,not_authorized,A7AL-2Q local execution not authorized,16
A7AL-2R,11eda7f,reports/CRYPTO_A7AL2R_LOCAL_FORENSIC_20260528.md,runtime/a7al2r_local_forensic,runtime/a7al2r_local_forensic/a7al2r_manifest.json,PASS_A7AL2R_LOCAL_FORENSIC_CANDIDATES_READY_FOR_A7AL2S_CONTRACT,contract,True,False,False,False,False,,,valid_or_historical_record,,14
