symbol,rows,timestamp_min,timestamp_max,expected_hours_between_min_max,missing_hour_count_between_min_max,duplicate_timestamp_count,okx_mark_non_null_rate,okx_index_non_null_rate,okx_funding_non_null_rate,binance_funding_non_null_rate
TRBUSDT,102,2026-04-26 18:00:00+00:00,2026-04-30 23:00:00+00:00,102,0,0,1.0,1.0,0.9803921568627451,0.24509803921568626
TRUMPUSDT,102,2026-04-26 18:00:00+00:00,2026-04-30 23:00:00+00:00,102,0,0,1.0,1.0,0.9803921568627451,0.24509803921568626
TRUSTUSDT,102,2026-04-26 18:00:00+00:00,2026-04-30 23:00:00+00:00,102,0,0,0.9901960784313726,1.0,0.9803921568627451,0.24509803921568626
TRUTHUSDT,102,2026-04-26 18:00:00+00:00,2026-04-30 23:00:00+00:00,102,0,0,1.0,1.0,0.9803921568627451,0.24509803921568626
TRXUSDT,102,2026-04-26 18:00:00+00:00,2026-04-30 23:00:00+00:00,102,0,0,1.0,1.0,0.9411764705882353,0.11764705882352941
TURBOUSDT,102,2026-04-26 18:00:00+00:00,2026-04-30 23:00:00+00:00,102,0,0,1.0,1.0,0.9803921568627451,0.24509803921568626
UMAUSDT,102,2026-04-26 18:00:00+00:00,2026-04-30 23:00:00+00:00,102,0,0,1.0,1.0,0.9803921568627451,0.24509803921568626
UNIUSDT,102,2026-04-26 18:00:00+00:00,2026-04-30 23:00:00+00:00,102,0,0,1.0,1.0,0.9411764705882353,0.11764705882352941
USDCUSDT,102,2026-04-26 18:00:00+00:00,2026-04-30 23:00:00+00:00,102,0,0,1.0,0.9901960784313726,0.9411764705882353,0.11764705882352941
USELESSUSDT,102,2026-04-26 18:00:00+00:00,2026-04-30 23:00:00+00:00,102,0,0,1.0,1.0,0.9803921568627451,0.24509803921568626
VIRTUALUSDT,102,2026-04-26 18:00:00+00:00,2026-04-30 23:00:00+00:00,102,0,0,1.0,1.0,0.9803921568627451,0.24509803921568626
WALUSDT,102,2026-04-26 18:00:00+00:00,2026-04-30 23:00:00+00:00,102,0,0,1.0,1.0,0.9803921568627451,0.24509803921568626
WCTUSDT,102,2026-04-26 18:00:00+00:00,2026-04-30 23:00:00+00:00,102,0,0,1.0,1.0,0.9803921568627451,0.24509803921568626
WETUSDT,102,2026-04-26 18:00:00+00:00,2026-04-30 23:00:00+00:00,102,0,0,1.0,1.0,0.9803921568627451,0.24509803921568626
WLDUSDT,102,2026-04-26 18:00:00+00:00,2026-04-30 23:00:00+00:00,102,0,0,1.0,1.0,0.9411764705882353,0.11764705882352941
WLFIUSDT,102,2026-04-26 18:00:00+00:00,2026-04-30 23:00:00+00:00,102,0,0,1.0,1.0,0.9803921568627451,0.24509803921568626
WOOUSDT,102,2026-04-26 18:00:00+00:00,2026-04-30 23:00:00+00:00,102,0,0,1.0,0.9901960784313726,0.9411764705882353,0.11764705882352941
WUSDT,102,2026-04-26 18:00:00+00:00,2026-04-30 23:00:00+00:00,102,0,0,1.0,1.0,0.9803921568627451,0.24509803921568626
XLMUSDT,102,2026-04-26 18:00:00+00:00,2026-04-30 23:00:00+00:00,102,0,0,1.0,1.0,0.9411764705882353,0.11764705882352941
XPLUSDT,102,2026-04-26 18:00:00+00:00,2026-04-30 23:00:00+00:00,102,0,0,1.0,0.9901960784313726,0.9803921568627451,0.24509803921568626
XRPUSDT,102,2026-04-26 18:00:00+00:00,2026-04-30 23:00:00+00:00,102,0,0,1.0,1.0,0.9411764705882353,0.11764705882352941
XTZUSDT,102,2026-04-26 18:00:00+00:00,2026-04-30 23:00:00+00:00,102,0,0,1.0,1.0,0.9411764705882353,0.24509803921568626
YBUSDT,102,2026-04-26 18:00:00+00:00,2026-04-30 23:00:00+00:00,102,0,0,1.0,1.0,0.9803921568627451,0.24509803921568626
YFIUSDT,102,2026-04-26 18:00:00+00:00,2026-04-30 23:00:00+00:00,102,0,0,1.0,0.9901960784313726,0.9411764705882353,0.11764705882352941
YGGUSDT,102,2026-04-26 18:00:00+00:00,2026-04-30 23:00:00+00:00,102,0,0,1.0,1.0,0.9803921568627451,0.24509803921568626
ZAMAUSDT,102,2026-04-26 18:00:00+00:00,2026-04-30 23:00:00+00:00,102,0,0,1.0,1.0,0.9803921568627451,0.24509803921568626
ZBTUSDT,102,2026-04-26 18:00:00+00:00,2026-04-30 23:00:00+00:00,102,0,0,1.0,0.9901960784313726,0.9803921568627451,0.24509803921568626
ZECUSDT,102,2026-04-26 18:00:00+00:00,2026-04-30 23:00:00+00:00,102,0,0,1.0,0.9901960784313726,0.9411764705882353,0.11764705882352941
ZENUSDT,102,2026-04-26 18:00:00+00:00,2026-04-30 23:00:00+00:00,102,0,0,1.0,1.0,0.9803921568627451,0.11764705882352941
ZETAUSDT,102,2026-04-26 18:00:00+00:00,2026-04-30 23:00:00+00:00,102,0,0,1.0,1.0,0.9803921568627451,0.24509803921568626
ZILUSDT,102,2026-04-26 18:00:00+00:00,2026-04-30 23:00:00+00:00,102,0,0,0.9901960784313726,1.0,0.9803921568627451,0.24509803921568626
ZKPUSDT,102,2026-04-26 18:00:00+00:00,2026-04-30 23:00:00+00:00,102,0,0,1.0,1.0,0.9803921568627451,0.24509803921568626
ZORAUSDT,102,2026-04-26 18:00:00+00:00,2026-04-30 23:00:00+00:00,102,0,0,0.9901960784313726,1.0,0.9803921568627451,0.24509803921568626
ZROUSDT,102,2026-04-26 18:00:00+00:00,2026-04-30 23:00:00+00:00,102,0,0,1.0,1.0,0.9803921568627451,0.24509803921568626
ZRXUSDT,102,2026-04-26 18:00:00+00:00,2026-04-30 23:00:00+00:00,102,0,0,1.0,1.0,0.9803921568627451,0.24509803921568626
AIXBTUSDT,101,2026-04-26 19:00:00+00:00,2026-04-30 23:00:00+00:00,101,0,0,1.0,1.0,0.9900990099009901,0.24752475247524752
BREVUSDT,101,2026-04-26 19:00:00+00:00,2026-04-30 23:00:00+00:00,101,0,0,1.0,1.0,0.9900990099009901,0.24752475247524752
ENSOUSDT,101,2026-04-26 19:00:00+00:00,2026-04-30 23:00:00+00:00,101,0,0,1.0,1.0,1.0,0.24752475247524752
GMTUSDT,101,2026-04-26 19:00:00+00:00,2026-04-30 23:00:00+00:00,101,0,0,1.0,1.0,0.9900990099009901,0.24752475247524752
