access_id,epoch_id,selected_start_utc,selected_end_utc,classification,accessor_stage,access_purpose,decision_impact,candidate_feedback_allowed_after_evalreset,evidence_status
eval-access-011,test_2025H2,2025-12-02T00:00:00Z,2025-12-31T23:00:00Z,SPENT_HISTORICAL_EVALUATION,incremental_admission,historical_decision_reconstruction,candidate_feedback_or_human_decision,False,CONFIRMED_CODE_OR_RELEASE_DEPENDENCY
eval-access-012,test_2025H2,2025-12-02T00:00:00Z,2025-12-31T23:00:00Z,SPENT_HISTORICAL_EVALUATION,memory,historical_decision_reconstruction,candidate_feedback_or_human_decision,False,CONFIRMED_CODE_OR_RELEASE_DEPENDENCY
eval-access-013,test_2025H2,2025-12-02T00:00:00Z,2025-12-31T23:00:00Z,SPENT_HISTORICAL_EVALUATION,scheduler,historical_decision_reconstruction,candidate_feedback_or_human_decision,False,CONFIRMED_CODE_OR_RELEASE_DEPENDENCY
eval-access-014,test_2025H2,2025-12-02T00:00:00Z,2025-12-31T23:00:00Z,SPENT_HISTORICAL_EVALUATION,human_review,historical_decision_reconstruction,candidate_feedback_or_human_decision,False,CONFIRMED_CODE_OR_RELEASE_DEPENDENCY
eval-access-015,recent_oos_2026JanApr,2026-04-01T00:00:00Z,2026-04-30T23:00:00Z,SPENT_HISTORICAL_EVALUATION,proxy,historical_decision_reconstruction,candidate_feedback_or_human_decision,False,CONFIRMED_CODE_OR_RELEASE_DEPENDENCY
eval-access-016,recent_oos_2026JanApr,2026-04-01T00:00:00Z,2026-04-30T23:00:00Z,SPENT_HISTORICAL_EVALUATION,strict_reward,historical_decision_reconstruction,candidate_feedback_or_human_decision,False,CONFIRMED_CODE_OR_RELEASE_DEPENDENCY
eval-access-017,recent_oos_2026JanApr,2026-04-01T00:00:00Z,2026-04-30T23:00:00Z,SPENT_HISTORICAL_EVALUATION,incremental_admission,historical_decision_reconstruction,candidate_feedback_or_human_decision,False,CONFIRMED_CODE_OR_RELEASE_DEPENDENCY
eval-access-018,recent_oos_2026JanApr,2026-04-01T00:00:00Z,2026-04-30T23:00:00Z,SPENT_HISTORICAL_EVALUATION,memory,historical_decision_reconstruction,candidate_feedback_or_human_decision,False,CONFIRMED_CODE_OR_RELEASE_DEPENDENCY
eval-access-019,recent_oos_2026JanApr,2026-04-01T00:00:00Z,2026-04-30T23:00:00Z,SPENT_HISTORICAL_EVALUATION,scheduler,historical_decision_reconstruction,candidate_feedback_or_human_decision,False,CONFIRMED_CODE_OR_RELEASE_DEPENDENCY
eval-access-020,recent_oos_2026JanApr,2026-04-01T00:00:00Z,2026-04-30T23:00:00Z,SPENT_HISTORICAL_EVALUATION,human_review,historical_decision_reconstruction,candidate_feedback_or_human_decision,False,CONFIRMED_CODE_OR_RELEASE_DEPENDENCY
eval-access-021,known_may2026_stress,2026-05-01T00:00:00Z,2026-05-26T00:00:00Z,SPENT_HISTORICAL_EVALUATION,proxy,historical_decision_reconstruction,candidate_feedback_or_human_decision,False,CONFIRMED_CODE_OR_RELEASE_DEPENDENCY
eval-access-022,known_may2026_stress,2026-05-01T00:00:00Z,2026-05-26T00:00:00Z,SPENT_HISTORICAL_EVALUATION,strict_reward,historical_decision_reconstruction,candidate_feedback_or_human_decision,False,CONFIRMED_CODE_OR_RELEASE_DEPENDENCY
eval-access-023,known_may2026_stress,2026-05-01T00:00:00Z,2026-05-26T00:00:00Z,SPENT_HISTORICAL_EVALUATION,incremental_admission,historical_decision_reconstruction,candidate_feedback_or_human_decision,False,CONFIRMED_CODE_OR_RELEASE_DEPENDENCY
eval-access-024,known_may2026_stress,2026-05-01T00:00:00Z,2026-05-26T00:00:00Z,SPENT_HISTORICAL_EVALUATION,memory,historical_decision_reconstruction,candidate_feedback_or_human_decision,False,CONFIRMED_CODE_OR_RELEASE_DEPENDENCY
eval-access-025,known_may2026_stress,2026-05-01T00:00:00Z,2026-05-26T00:00:00Z,SPENT_HISTORICAL_EVALUATION,scheduler,historical_decision_reconstruction,candidate_feedback_or_human_decision,False,CONFIRMED_CODE_OR_RELEASE_DEPENDENCY
eval-access-026,known_may2026_stress,2026-05-01T00:00:00Z,2026-05-26T00:00:00Z,SPENT_HISTORICAL_EVALUATION,human_review,historical_decision_reconstruction,candidate_feedback_or_human_decision,False,CONFIRMED_CODE_OR_RELEASE_DEPENDENCY
