component_id,layer,status,verified_path,source_path,evidence,known_gap,decision
materialization_evaluator_parity,feature_formula,PASS,verified_core_crypto_20260618/feature_formula/crypto_a7aif3_materialization_evaluator_parity.py,scripts/crypto_a7aif3_materialization_evaluator_parity.py,reports/CRYPTO_A7AIF3_MATERIALIZATION_EVALUATOR_PARITY_20260529.md,needs rerun when operators or panel schema change,required before numeric/reward runs
evaluator_preflight_smoke,fast_eval,PROVISIONAL_PASS,verified_core_crypto_20260618/fast_eval/crypto_a7al2x5_evaluator_preflight_smoke.py,scripts/crypto_a7al2x5_evaluator_preflight_smoke.py,reports/CRYPTO_A7AL2X5_EVALUATOR_PREFLIGHT_SMOKE_20260529.md,default panel paths are older unless overridden,usable smoke but must be parameterized
prereward_oos_control_proxy,fast_eval,PROVISIONAL_PASS,verified_core_crypto_20260618/fast_eval/crypto_a7v3s9_prereward_oos_control_proxy.py,scripts/crypto_a7v3s9_prereward_oos_control_proxy.py,remote A7FAST2 proxy 32/32 shards PASS; 16384 rows; 34 proxy pass,proxy is a filter not final reward; warnings from NaN slices expected but should be counted,usable as stage-1 evaluator
proxy_aggregate,aggregation,PASS,verified_core_crypto_20260618/aggregation/crypto_a7v3s9_proxy_aggregate.py,scripts/crypto_a7v3s9_proxy_aggregate.py,commit 355b515 fixed generic shard discovery; A7FAST2 aggregate succeeded,still assumes proxy_runtime filenames,usable for current proxy shard aggregation
strict_portfolio_reward,strict_reward,PROVISIONAL_PASS,verified_core_crypto_20260618/strict_reward/crypto_a7reward1_portfolio_reward_model.py,scripts/crypto_a7reward1_portfolio_reward_model.py,reports/CRYPTO_A7REWARD1_PORTFOLIO_REWARD_MODEL_20260610.md;reports/CRYPTO_A7REWARD1_SMOKE_STRICT_CONTROL_20260613.md;A7FAST2 full reward accepted 30 rows,reward is expensive and imports older evaluator modules; accepted is not alpha proof,usable as strict acceptance gate
reward_sharded_aggregate,aggregation,PROVISIONAL_PASS,verified_core_crypto_20260618/aggregation/crypto_a7v3s0_reward_sharded_aggregate.py,scripts/crypto_a7v3s0_reward_sharded_aggregate.py,A7FAST2 full reward aggregate 6/6 shards; 764 reward rows; 30 accepted,hard-coded a7v3s0_reward_s shard regex should be generalized,usable after path/prefix review
next_large_search_contract,search_space,PROVISIONAL_PASS,verified_core_crypto_20260618/search_space/crypto_a7v3s0_next_large_search_contract.py,scripts/crypto_a7v3s0_next_large_search_contract.py,reports/CRYPTO_A7V3S0_NEXT_LARGE_SEARCH_CONTRACT_20260613.md,queue builder not a search optimizer and not proof of CEM/AST integration,usable for explicit search-space construction
typed_ast_governance,search_space,PROVISIONAL_PASS,verified_core_crypto_20260618/search_space/crypto_a7ffcore0_typed_ast_governance.py,scripts/crypto_a7ffcore0_typed_ast_governance.py,reports/CRYPTO_A7FFCORE0_TYPED_AST_GOVERNANCE_20260601.md,AST governance does not equal AST search,usable representation layer
ast_schema_adapter,search_space,PROVISIONAL_PASS,verified_core_crypto_20260618/search_space/crypto_a7ffcore1_ast_schema_adapter.py,scripts/crypto_a7ffcore1_ast_schema_adapter.py,reports/CRYPTO_A7FFCORE1_AST_SCHEMA_ADAPTER_20260601.md,parser/render layer only,usable representation layer
feature_subgraph_registry,search_space,PROVISIONAL_PASS,verified_core_crypto_20260618/search_space/crypto_a7ffcore2_feature_subgraph_registry.py,scripts/crypto_a7ffcore2_feature_subgraph_registry.py,reports/CRYPTO_A7FFCORE2_FEATURE_SUBGRAPH_REGISTRY_20260601.md,subgraph registry not enough to validate incremental information,usable for dedupe and subgraph tracking
mechanism_regime_audit,regime,PROVISIONAL_PASS,verified_core_crypto_20260618/regime/crypto_a7regime2_mechanism_regime_audit.py,scripts/crypto_a7regime2_mechanism_regime_audit.py,reports/CRYPTO_A7REGIME2_MECHANISM_REGIME_AUDIT_20260612.md;reports/CRYPTO_A7REGIME2_V3_PATCH_AGE_MECHANISM_AUDIT_20260613.md,regime sufficiency still needs event-count and leave-one-event-out proof,usable for regime coverage audit
candidate_regime_attribution,regime,PROVISIONAL_PASS,verified_core_crypto_20260618/regime/crypto_a7regime3_candidate_regime_attribution.py,scripts/crypto_a7regime3_candidate_regime_attribution.py,reports/CRYPTO_A7REGIME3_CANDIDATE_REGIME_ATTRIBUTION_20260612.md,candidate attribution is post-hoc unless wired into search/reward,usable for candidate diagnostics
integrated_cem_search_core,search_core,MISSING,verified_core_crypto_20260618/holds/CEM_AST_SEARCH_CORE_HOLD.md,not present as verified current crypto reward-connected component,local grep found AST representation scripts but no current CEM optimizer wired to strict reward,current large search is queue/proxy/reward sharding rather than verified CEM
integrated_ast_search_core,search_core,HOLD,verified_core_crypto_20260618/holds/CEM_AST_SEARCH_CORE_HOLD.md,scripts/crypto_a7ffcore1_ast_schema_adapter.py; scripts/crypto_a7ffcore2_feature_subgraph_registry.py,AST schema and subgraph registry exist,AST parser exists but AST search policy/reward feedback loop is not verified,do not call AST search verified
mcts_search_core,search_core,MISSING,verified_core_crypto_20260618/holds/CEM_AST_SEARCH_CORE_HOLD.md,not found in current crypto repo search,none,no MCTS core verified

