symbol,track,tier,rows,timestamp_min,timestamp_max,common_window_rows,common_window_missing_hours,duplicate_keys,gap_count,listing_policy,ready_for_common_window
BOMEUSDT,primary_core48_top36_addition,midcap_candidate,18612,2024-03-16 12:00:00+00:00,2026-04-30 23:00:00+00:00,18612,0,0,0,starts_at_listing_gap_boundary,True
ETCUSDT,primary_core48_top36_addition,midcap_candidate,20424,2024-01-01 00:00:00+00:00,2026-04-30 23:00:00+00:00,18612,0,0,0,continuous_from_2024_01,True
HBARUSDT,primary_core48_top36_addition,midcap_candidate,20424,2024-01-01 00:00:00+00:00,2026-04-30 23:00:00+00:00,18612,0,0,0,continuous_from_2024_01,True
KNCUSDT,primary_core48_top36_addition,midcap_candidate,20424,2024-01-01 00:00:00+00:00,2026-04-30 23:00:00+00:00,18612,0,0,0,continuous_from_2024_01,True
MANAUSDT,primary_core48_top36_addition,midcap_candidate,20424,2024-01-01 00:00:00+00:00,2026-04-30 23:00:00+00:00,18612,0,0,0,continuous_from_2024_01,True
PENDLEUSDT,primary_core48_top36_addition,midcap_candidate,20424,2024-01-01 00:00:00+00:00,2026-04-30 23:00:00+00:00,18612,0,0,0,continuous_from_2024_01,True
WLDUSDT,primary_core48_top36_addition,midcap_candidate,20424,2024-01-01 00:00:00+00:00,2026-04-30 23:00:00+00:00,18612,0,0,0,continuous_from_2024_01,True
1000BONKUSDT,primary_core48_top36_addition,midcap_candidate,20424,2024-01-01 00:00:00+00:00,2026-04-30 23:00:00+00:00,18612,0,0,0,continuous_from_2024_01,True
1000FLOKIUSDT,primary_core48_top36_addition,midcap_candidate,20424,2024-01-01 00:00:00+00:00,2026-04-30 23:00:00+00:00,18612,0,0,0,continuous_from_2024_01,True
1INCHUSDT,primary_core48_top36_addition,midcap_candidate,20424,2024-01-01 00:00:00+00:00,2026-04-30 23:00:00+00:00,18612,0,0,0,continuous_from_2024_01,True
AAVEUSDT,primary_core48_top36_addition,midcap_candidate,20424,2024-01-01 00:00:00+00:00,2026-04-30 23:00:00+00:00,18612,0,0,0,continuous_from_2024_01,True
ACEUSDT,primary_core48_top36_addition,midcap_candidate,20424,2024-01-01 00:00:00+00:00,2026-04-30 23:00:00+00:00,18612,0,0,0,continuous_from_2024_01,True
API3USDT,primary_core48_top36_addition,midcap_candidate,20424,2024-01-01 00:00:00+00:00,2026-04-30 23:00:00+00:00,18612,0,0,0,continuous_from_2024_01,True
APTUSDT,primary_core48_top36_addition,midcap_candidate,20424,2024-01-01 00:00:00+00:00,2026-04-30 23:00:00+00:00,18612,0,0,0,continuous_from_2024_01,True
ARBUSDT,primary_core48_top36_addition,midcap_candidate,20424,2024-01-01 00:00:00+00:00,2026-04-30 23:00:00+00:00,18612,0,0,0,continuous_from_2024_01,True
AXSUSDT,primary_core48_top36_addition,midcap_candidate,20424,2024-01-01 00:00:00+00:00,2026-04-30 23:00:00+00:00,18612,0,0,0,continuous_from_2024_01,True
BANDUSDT,primary_core48_top36_addition,midcap_candidate,20424,2024-01-01 00:00:00+00:00,2026-04-30 23:00:00+00:00,18612,0,0,0,continuous_from_2024_01,True
BATUSDT,primary_core48_top36_addition,midcap_candidate,20424,2024-01-01 00:00:00+00:00,2026-04-30 23:00:00+00:00,18612,0,0,0,continuous_from_2024_01,True
