field_id,rows,valid_rows,non_null_ratio,pre2024_non_null_ratio,top2024_non_null_ratio,mean,variance,minimum,maximum,assets_with_time_variation,field_family,value_type,unit,sparse_semantics,observable_lag_hours,lineage_ok,economic_role,current_runtime_baseline,admission_status,rejection_reason
listing_age_hours,2549139,2549139,1.0,1.0,1.0,5893.699201586627,14081387.194395721,0.0,13199.0,276,listing_age_context,AGE,hours,False,1,True,point-in-time maturity context,False,REJECTED,EQUIVALENT_TO:listing_age_days
log1p_listing_age_days,2549139,2549139,1.0,1.0,1.0,5.157938952147409,1.080762973318894,0.0,6.311659186208877,276,listing_age_context,AGE,days,False,1,True,point-in-time maturity context,False,REJECTED,EQUIVALENT_TO:listing_age_days
mark_close,2549139,2546931,0.9991338251856804,1.0,0.998825874784438,344.799103328479,17750423.26721077,0.00011723,108242.72950355,276,price_level,PRICE,quote_per_base,False,1,True,price reference used only through normalized relations,False,REJECTED,EQUIVALENT_TO:index_close
mark_high,2549139,2546931,0.9991338251856804,1.0,0.998825874784438,346.1144981019198,17877909.608660944,0.00012042,108321.12964999,276,price_level,PRICE,quote_per_base,False,1,True,price reference used only through normalized relations,False,REJECTED,EQUIVALENT_TO:index_high
mark_index_basis_bps,2549139,2546187,0.9988419619330291,1.0,0.9984302456357159,-0.5311469502713648,193.92751729130197,-2008.827060682491,329.2611583118576,276,basis_premium,BPS,bps,False,1,True,mark/index/trade dislocation state,False,ADMITTED,
mark_low,2549139,2546931,0.9991338251856804,1.0,0.998825874784438,343.37886672791245,17613273.000256706,0.00011068,107089.24655319,276,price_level,PRICE,quote_per_base,False,1,True,price reference used only through normalized relations,False,REJECTED,EQUIVALENT_TO:index_low
mark_open,2549139,2546931,0.9991338251856804,1.0,0.998825874784438,344.7730604615349,17747380.790048905,0.0001173,108235.3622695,276,price_level,PRICE,quote_per_base,False,1,True,price reference used only through normalized relations,False,REJECTED,EQUIVALENT_TO:index_open
mark_trade_basis_bps,2549139,2546931,0.9991338251856804,1.0,0.998825874784438,0.22924868807949753,23.785967853359615,-819.3119155354456,1624.0056285178239,276,basis_premium,BPS,bps,False,1,True,mark/index/trade dislocation state,True,ADMITTED,
metrics_n_5m,2549139,2546299,0.9988858983366541,0.9987077282041311,0.9989492430136093,11.998261398209715,0.007950874272779629,1.0,12.0,276,other,RATIO,dimensionless,False,1,True,registered observable interaction input,False,REJECTED,NO_ECONOMIC_ROLE
open_interest_last,2549139,2546299,0.9988858983366541,0.9987077282041311,0.9989492430136093,898127318.5467261,6.792117246567065e+19,0.0,250362839213.0,276,open_interest_level_change,VOLUME,contracts,False,1,True,contract open-interest level or change,False,ADMITTED,
open_interest_last_change_1h,2549139,2544933,0.9983500311281573,0.9978267697692158,0.998536065797807,-6.478323412545724e-05,0.0007248190443257301,-1.0,5.035441153698218,276,open_interest_level_change,RETURN,dimensionless,False,1,True,contract open-interest level or change,False,ADMITTED,
open_interest_last_change_24h,2549139,2536041,0.994861794511794,0.990637012219746,0.9963638277970954,0.007326207284459527,0.03569450451248086,-1.0,39.91549400300278,276,open_interest_level_change,RETURN,dimensionless,False,1,True,contract open-interest level or change,False,ADMITTED,
open_interest_last_change_4h,2549139,2543433,0.9977615971510381,0.9968889753062415,0.9980718396595888,0.0008277234776164706,0.0030429051908363435,-1.0,16.87080239896891,276,open_interest_level_change,RETURN,dimensionless,False,1,True,contract open-interest level or change,False,ADMITTED,
open_interest_mean,2549139,2546299,0.9988858983366541,0.9987077282041311,0.9989492430136093,897977443.7696877,6.78679872238865e+19,0.0,250899299918.91663,276,open_interest_level_change,VOLUME,contracts,False,1,True,contract open-interest level or change,False,ADMITTED,
open_interest_value_last,2549139,2546299,0.9988858983366541,0.9987077282041311,0.9989492430136093,63609335.74360351,1.655892086313212e+17,0.0,10396895616.227676,276,open_interest_value,NOTIONAL,quote_asset,False,1,True,notional open-interest level or change,True,ADMITTED,
open_interest_value_last_change_1h,2549139,2544933,0.9983500311281573,0.9978267697692158,0.998536065797807,7.745767397084281e-05,0.0010498056493689271,-1.0,8.067717171831438,276,open_interest_value,RETURN,dimensionless,False,1,True,notional open-interest level or change,False,ADMITTED,
open_interest_value_last_change_24h,2549139,2536041,0.994861794511794,0.990637012219746,0.9963638277970954,0.012532512247835052,0.08308596030896474,-1.0,87.92941138413521,276,open_interest_value,RETURN,dimensionless,False,1,True,notional open-interest level or change,False,ADMITTED,
open_interest_value_last_change_4h,2549139,2543433,0.9977615971510381,0.9968889753062415,0.9980718396595888,0.00148626166440093,0.00500705345253171,-1.0,20.92506892384606,276,open_interest_value,RETURN,dimensionless,False,1,True,notional open-interest level or change,False,ADMITTED,
open_interest_value_mean,2549139,2546299,0.9988858983366541,0.9987077282041311,0.9989492430136093,63611872.24067265,1.653879530559395e+17,0.0,10412214738.268875,276,open_interest_value,NOTIONAL,quote_asset,False,1,True,notional open-interest level or change,True,ADMITTED,
premium_close,2549139,2549130,0.9999964693961373,1.0,0.9999952141635235,-2.1967648636985935e-05,1.88976281852985e-06,-0.30943284,0.03432158,276,basis_premium,RATIO,dimensionless,False,1,True,mark/index/trade dislocation state,False,ADMITTED,
premium_close_bps,2549139,2549130,0.9999964693961373,1.0,0.9999952141635235,-0.21967648636985965,188.97628185298507,-3094.3284,343.2158,276,basis_premium,BPS,bps,False,1,True,mark/index/trade dislocation state,False,REJECTED,EQUIVALENT_TO:premium_close
premium_high,2549139,2549130,0.9999964693961373,1.0,0.9999952141635235,0.0013758265939398937,3.358140828824537e-06,-0.17470063,0.32505671,276,basis_premium,RATIO,dimensionless,False,1,True,mark/index/trade dislocation state,False,ADMITTED,
premium_low,2549139,2549130,0.9999964693961373,1.0,0.9999952141635235,-0.001563842431260861,6.62947289158379e-06,-0.44085533,0.0056307,276,basis_premium,RATIO,dimensionless,False,1,True,mark/index/trade dislocation state,False,ADMITTED,
premium_open,2549139,2549130,0.9999964693961373,1.0,0.9999952141635235,-2.275079705232766e-05,1.9344733469921436e-06,-0.31320253,0.08829528,276,basis_premium,RATIO,dimensionless,False,1,True,mark/index/trade dislocation state,False,ADMITTED,
sqrt_listing_age_days,2549139,2549139,1.0,1.0,1.0,14.615533059000201,31.956993467381693,0.0,23.45119044597381,276,listing_age_context,AGE,days,False,1,True,point-in-time maturity context,False,REJECTED,EQUIVALENT_TO:listing_age_days
taker_buy_quote_volume,2549139,2549139,1.0,1.0,1.0,4811095.324968376,1508825993993772.2,0.0,7216176344.67243,276,quote_volume_activity,NOTIONAL,quote_asset,False,1,True,trading activity and participation,False,ADMITTED,
taker_buy_sell_volume_ratio_last,2549139,2546299,0.9988858983366541,0.9987077282041311,0.9989492430136093,1.5288448384829747,8421.211976500683,0.0,142227.0,276,quote_volume_activity,RATIO,dimensionless,False,1,True,trading activity and participation,False,ADMITTED,
taker_buy_sell_volume_ratio_mean,2549139,2546299,0.9988858983366541,0.9987077282041311,0.9989492430136093,1.5328504201495132,3255.4200017180397,0.0191680616666666,62080.28479001916,276,quote_volume_activity,RATIO,dimensionless,False,1,True,trading activity and participation,False,ADMITTED,
taker_buy_volume,2549139,2549139,1.0,1.0,1.0,121116315.15076266,3.178559400761427e+18,0.0,467400288968.0,276,quote_volume_activity,VOLUME,base_asset,False,1,True,trading activity and participation,False,ADMITTED,
top_global_account_divergence,2549139,2546299,0.9988858983366541,0.9987077282041311,0.9989492430136093,0.07516719505770378,0.16391460243617917,-5.042459660000002,3.6718246599999995,276,account_position_divergence,RATIO,dimensionless,False,1,True,crowding divergence,True,ADMITTED,
top_long_short_account_ratio_last,2549139,2546299,0.9988858983366541,0.9987077282041311,0.9989492430136093,2.533346753163154,1.0844569584660988,0.1624939,14.51958225,276,account_crowding,RATIO,dimensionless,False,1,True,account-side crowding state,True,ADMITTED,
top_long_short_account_ratio_mean,2549139,2546299,0.9988858983366541,0.9987077282041311,0.9989492430136093,2.5327645528639198,1.081122673348724,0.17165400249999999,14.537486855000004,276,account_crowding,RATIO,dimensionless,False,1,True,account-side crowding state,False,ADMITTED,
top_long_short_position_ratio_last,2549139,2546299,0.9988858983366541,0.9987077282041311,0.9989492430136093,1.5922659008383537,0.500807281381773,0.337311,11.394081,276,position_crowding,RATIO,dimensionless,False,1,True,position-side crowding state,True,ADMITTED,
top_long_short_position_ratio_mean,2549139,2546299,0.9988858983366541,0.9987077282041311,0.9989492430136093,1.5922286342420169,0.5005676499643079,0.3411067499999999,11.180943583333333,276,position_crowding,RATIO,dimensionless,False,1,True,position-side crowding state,False,ADMITTED,
trade_close,2549139,2549139,1.0,1.0,1.0,344.4988969571665,17735055.27926144,0.0001173,108220.3,276,price_level,PRICE,quote_per_base,False,1,True,price reference used only through normalized relations,True,ADMITTED,
trade_count,2549139,2549139,1.0,1.0,1.0,18325.8605199638,1677546084.984397,0.0,3550298.0,276,quote_volume_activity,COUNT,trades,False,1,True,trading activity and participation,False,ADMITTED,
trade_high,2549139,2549139,1.0,1.0,1.0,345.8712932967795,17867477.8550045,0.0001205,108366.8,276,price_level,PRICE,quote_per_base,False,1,True,price reference used only through normalized relations,False,REJECTED,EQUIVALENT_TO:index_high
trade_low,2549139,2549139,1.0,1.0,1.0,343.005105336122,17592174.202119537,0.0001103,107076.6,276,price_level,PRICE,quote_per_base,False,1,True,price reference used only through normalized relations,False,REJECTED,EQUIVALENT_TO:index_low
trade_open,2549139,2549139,1.0,1.0,1.0,344.4728859929322,17731997.851412944,0.0001173,108220.2,276,price_level,PRICE,quote_per_base,False,1,True,price reference used only through normalized relations,False,REJECTED,EQUIVALENT_TO:index_open
trade_quote_volume,2549139,2549139,1.0,1.0,1.0,9773004.922721481,6136221480814832.0,0.0,14348725952.15978,276,quote_volume_activity,NOTIONAL,quote_asset,False,1,True,trading activity and participation,True,ADMITTED,
trade_return_1h,2549139,2547931,0.9995261145037599,0.9986060216276044,0.9998532343480547,8.858915522544944e-05,0.00015583888415099726,-0.6223423618634887,1.1727035405449504,276,price_return,RETURN,dimensionless,False,1,True,observable price response,False,ADMITTED,
trade_volume,2549139,2549139,1.0,1.0,1.0,248082641.47935042,1.3037035380697123e+19,0.0,906795142737.0,276,quote_volume_activity,VOLUME,base_asset,False,1,True,trading activity and participation,False,ADMITTED,
