blueprint_id,semantic_pair,motif,mutation_kind,field_count,fields,expression,unresolved_fields,contract_drift_fields,field_routes,gate_decision
a7ls28b_36a9dcf9866dfa25,basis_premium_like|positioning_like,safe_div_abs,parent_identity,2,global_long_short_account_ratio_mean;premium_close_bps,"SafeDiv(TSRank(premium_close_bps,8),Abs(ZScore(Mean(global_long_short_account_ratio_mean,120))))",,,global_long_short_account_ratio_mean:base_schema;premium_close_bps:base_schema,PASS
a7ls28b_13a753a07916e485,basis_premium_like|positioning_like,signed_spread,parent_identity,2,mark_trade_basis_bps;top_long_short_position_ratio_mean,"Mul(Sub(CSRank(TSRank(mark_trade_basis_bps,240)),CSRank(Abs(ZScore(Mean(top_long_short_position_ratio_mean,12))))),Sign(Abs(ZScore(Mean(top_long_short_position_ratio_mean,12)))))",,,mark_trade_basis_bps:base_schema;top_long_short_position_ratio_mean:base_schema,PASS
a7ls28b_748f1e0ca1f169f3,basis_premium_like|positioning_like,safe_div_abs,parent_identity,2,global_long_short_account_ratio_last;mark_index_basis_bps,"SafeDiv(TSRank(mark_index_basis_bps,4),Abs(ZScore(Mean(global_long_short_account_ratio_last,240))))",,,global_long_short_account_ratio_last:base_schema;mark_index_basis_bps:base_schema,PASS
a7ls28b_38de1e069b66b516,basis_premium_like|positioning_like,spread_rank,parent_identity,2,mark_index_basis_bps;top_long_short_account_ratio_last,"Sub(CSRank(TSRank(mark_index_basis_bps,36)),CSRank(Abs(ZScore(Mean(top_long_short_account_ratio_last,36)))))",,,mark_index_basis_bps:base_schema;top_long_short_account_ratio_last:base_schema,PASS
a7ls28b_ee582b0b695e11e0,basis_premium_like|positioning_like,spread_rank,parent_identity,2,global_long_short_account_ratio_mean;premium_close_bps,"Sub(CSRank(Delta(premium_close_bps,48)),CSRank(Mean(global_long_short_account_ratio_mean,2)))",,,global_long_short_account_ratio_mean:base_schema;premium_close_bps:base_schema,PASS
a7ls28b_e9dddc2e97770b57,basis_premium_like|positioning_like,safe_div_abs,parent_identity,2,mark_trade_basis_bps;top_long_short_position_ratio_last,"SafeDiv(CSRank(mark_trade_basis_bps),Abs(ZScore(Mean(top_long_short_position_ratio_last,3))))",,,mark_trade_basis_bps:base_schema;top_long_short_position_ratio_last:base_schema,PASS
a7ls28b_26b770dd8af4017f,basis_premium_like|positioning_like,spread_rank,parent_identity,2,premium_abs_state;top_long_short_position_ratio_mean,"Sub(CSRank(CSRank(premium_abs_state)),CSRank(TSRank(top_long_short_position_ratio_mean,16)))",,premium_abs_state,premium_abs_state:derived_dep_generated;top_long_short_position_ratio_mean:base_schema,HOLD_CONTRACT_DRIFT_BACKFILL_REQUIRED
a7ls28b_c56d65ae0b573690,basis_premium_like|positioning_like,spread_rank,parent_identity,2,mark_trade_basis_bps;top_long_short_position_ratio_mean,"Sub(CSRank(TSRank(mark_trade_basis_bps,8)),CSRank(Delta(top_long_short_position_ratio_mean,8)))",,,mark_trade_basis_bps:base_schema;top_long_short_position_ratio_mean:base_schema,PASS
a7ls28b_1250611d65e7af58,basis_premium_like|positioning_like,safe_div_abs,parent_identity,2,account_position_divergence;mark_index_basis_bps,"SafeDiv(TSRank(mark_index_basis_bps,24),Abs(Decay(account_position_divergence,168)))",,account_position_divergence,account_position_divergence:derived_dep_generated;mark_index_basis_bps:base_schema,HOLD_CONTRACT_DRIFT_BACKFILL_REQUIRED
a7ls28b_9657d8d15f7dbe1b,basis_premium_like|positioning_like,spread_rank,parent_identity,2,global_long_short_account_ratio_mean;mark_index_basis_bps,"Sub(CSRank(TSRank(mark_index_basis_bps,168)),CSRank(ZScore(Mean(global_long_short_account_ratio_mean,4))))",,,global_long_short_account_ratio_mean:base_schema;mark_index_basis_bps:base_schema,PASS
a7ls28b_b47de87eddc919d7,basis_premium_like|positioning_like,mean_reversion_gate,parent_identity,2,global_long_short_account_ratio_last;mark_index_basis_bps,"Mul(Neg(ZScore(Delta(mark_index_basis_bps,3))),Sign(Mean(global_long_short_account_ratio_last,12)))",,,global_long_short_account_ratio_last:base_schema;mark_index_basis_bps:base_schema,PASS
a7ls28b_22be667035f393b6,basis_premium_like|positioning_like,signed_spread,parent_identity,2,mark_index_basis_bps;top_long_short_account_ratio_last,"Mul(Sub(CSRank(mark_index_basis_bps),CSRank(Decay(top_long_short_account_ratio_last,48))),Sign(Decay(top_long_short_account_ratio_last,48)))",,,mark_index_basis_bps:base_schema;top_long_short_account_ratio_last:base_schema,PASS
a7ls28b_585ea35109a6609a,basis_premium_like|positioning_like,spread_rank,parent_identity,2,mark_index_basis_bps;top_long_short_account_ratio_mean,"Sub(CSRank(TSRank(mark_index_basis_bps,504)),CSRank(Mean(top_long_short_account_ratio_mean,48)))",,,mark_index_basis_bps:base_schema;top_long_short_account_ratio_mean:base_schema,PASS
a7ls28b_390b2848a3dfd04a,basis_premium_like|positioning_like,safe_div_abs,parent_identity,2,global_long_short_account_ratio_mean;mark_index_basis_bps,"SafeDiv(TSRank(mark_index_basis_bps,48),Abs(Abs(ZScore(Mean(global_long_short_account_ratio_mean,240)))))",,,global_long_short_account_ratio_mean:base_schema;mark_index_basis_bps:base_schema,PASS
a7ls28b_d6e0f14e4d2e4cf7,basis_premium_like|positioning_like,signed_spread,parent_identity,2,premium_close_bps;top_long_short_account_ratio_last,"Mul(Sub(CSRank(TSRank(premium_close_bps,24)),CSRank(Abs(ZScore(Mean(top_long_short_account_ratio_last,4))))),Sign(Abs(ZScore(Mean(top_long_short_account_ratio_last,4)))))",,,premium_close_bps:base_schema;top_long_short_account_ratio_last:base_schema,PASS
a7ls28b_0424db6b32667fb9,basis_premium_like|positioning_like,spread_rank,parent_identity,2,mark_index_basis_bps;top_long_short_account_ratio_mean,"Sub(CSRank(Delta(mark_index_basis_bps,12)),CSRank(top_long_short_account_ratio_mean))",,,mark_index_basis_bps:base_schema;top_long_short_account_ratio_mean:base_schema,PASS
a7ls28b_c8705b973da21e6b,basis_premium_like|positioning_like,spread_rank,parent_identity,2,account_position_divergence;premium_close_bps,"Sub(CSRank(TSRank(premium_close_bps,48)),CSRank(ZScore(Mean(account_position_divergence,6))))",,account_position_divergence,account_position_divergence:derived_dep_generated;premium_close_bps:base_schema,HOLD_CONTRACT_DRIFT_BACKFILL_REQUIRED
a7ls28b_e28952a72c3db30a,basis_premium_like|positioning_like,spread_rank,parent_identity,2,account_position_divergence;mark_trade_basis_bps,"Sub(CSRank(TSRank(mark_trade_basis_bps,504)),CSRank(Mean(account_position_divergence,48)))",,account_position_divergence,account_position_divergence:derived_dep_generated;mark_trade_basis_bps:base_schema,HOLD_CONTRACT_DRIFT_BACKFILL_REQUIRED
a7ls28b_1be67cdb3c49c6b9,open_interest_like|positioning_like|listing_age_like,seed_sub,parent_identity,2,age_x_volatility;taker_buy_sell_volume_ratio_last,"Sub(ZScore(Mean(taker_buy_sell_volume_ratio_last,48)),Decay(age_x_volatility,24))",,age_x_volatility,age_x_volatility:latent_schema;taker_buy_sell_volume_ratio_last:base_schema,HOLD_CONTRACT_DRIFT_BACKFILL_REQUIRED
a7ls28b_b7f24e87a9f68446,open_interest_like|positioning_like|regime_state,seed_gated_sign,parent_identity,2,leverage_crowding_state;taker_buy_sell_volume_ratio_last,"Mul(ZScore(Mean(taker_buy_sell_volume_ratio_last,48)),Sign(TSRank(leverage_crowding_state,8)))",,leverage_crowding_state,leverage_crowding_state:upper_alias;taker_buy_sell_volume_ratio_last:base_schema,HOLD_CONTRACT_DRIFT_BACKFILL_REQUIRED
a7ls28b_eda44e943961f547,open_interest_like|positioning_like|listing_age_like,seed_sub,parent_identity,2,age_x_volatility;taker_buy_sell_volume_ratio_last,"Sub(ZScore(Mean(taker_buy_sell_volume_ratio_last,48)),Mean(age_x_volatility,8))",,age_x_volatility,age_x_volatility:latent_schema;taker_buy_sell_volume_ratio_last:base_schema,HOLD_CONTRACT_DRIFT_BACKFILL_REQUIRED
a7ls28b_a56fd9c3361576d0,basis_premium_like|positioning_like,sub,parent_identity,2,global_long_short_account_ratio_mean;mark_index_basis_bps,"Sub(Delta(mark_index_basis_bps,2),ZScore(Mean(global_long_short_account_ratio_mean,72)))",,,global_long_short_account_ratio_mean:base_schema;mark_index_basis_bps:base_schema,PASS
a7ls28b_c23c912f0c13a3b5,basis_premium_like|age_x_volatility|positioning_like,seed_sub,parent_identity,3,age_x_volatility;basis_abs_168h;top_global_account_divergence,"Sub(Mul(Abs(ZScore(Mean(basis_abs_168h,12))),Sign(ZScore(Mean(age_x_volatility,12)))),Decay(top_global_account_divergence,6))",,age_x_volatility;basis_abs_168h;top_global_account_divergence,age_x_volatility:latent_schema;basis_abs_168h:latent_schema;top_global_account_divergence:derived_dep_generated,HOLD_CONTRACT_DRIFT_BACKFILL_REQUIRED
a7ls28b_596b94e50a96d924,basis_premium_like|positioning_like,safe_div_abs,parent_identity,2,premium_close_bps;top_global_account_divergence,"SafeDiv(Delta(premium_close_bps,24),Abs(Abs(ZScore(Mean(top_global_account_divergence,72)))))",,top_global_account_divergence,premium_close_bps:base_schema;top_global_account_divergence:derived_dep_generated,HOLD_CONTRACT_DRIFT_BACKFILL_REQUIRED
a7ls28b_98d8e8e1fbd818a4,basis_premium_like|positioning_like,safe_div_abs,parent_identity,2,mark_index_basis_bps;top_long_short_account_ratio_last,"SafeDiv(ZScore(Mean(mark_index_basis_bps,2)),Abs(Delta(top_long_short_account_ratio_last,504)))",,,mark_index_basis_bps:base_schema;top_long_short_account_ratio_last:base_schema,PASS
a7ls28b_a361310c9c823986,basis_premium_like|positioning_like,spread_rank,parent_identity,2,global_long_short_account_ratio_last;mark_index_basis_bps,"Sub(CSRank(Delta(mark_index_basis_bps,12)),CSRank(ZScore(Mean(global_long_short_account_ratio_last,3))))",,,global_long_short_account_ratio_last:base_schema;mark_index_basis_bps:base_schema,PASS
a7ls28b_11f25397a6eddaa8,open_interest_like|positioning_like,smooth_mul,parent_identity,2,open_interest_mean;top_long_short_position_ratio_last,"Mean(Mul(Mean(open_interest_mean,3),Delta(top_long_short_position_ratio_last,4)),4)",,,open_interest_mean:base_schema;top_long_short_position_ratio_last:base_schema,PASS
a7ls28b_5bd96130062829f2,open_interest_like|positioning_like,smooth_mul,parent_identity,2,open_interest_mean;top_long_short_position_ratio_last,"Mean(Mul(Mean(open_interest_mean,2),Delta(top_long_short_position_ratio_last,4)),4)",,,open_interest_mean:base_schema;top_long_short_position_ratio_last:base_schema,PASS
a7ls28b_eb37ebeccfdf91ac,basis_premium_like|positioning_like,spread_rank,parent_identity,2,premium_close_bps;top_long_short_account_ratio_last,"Sub(CSRank(TSRank(premium_close_bps,48)),CSRank(Abs(ZScore(Mean(top_long_short_account_ratio_last,240)))))",,,premium_close_bps:base_schema;top_long_short_account_ratio_last:base_schema,PASS
a7ls28b_c5dd75e6aa4e85f4,basis_premium_like|positioning_like,safe_div_abs,parent_identity,2,premium_close_bps;top_long_short_account_ratio_mean,"SafeDiv(Delta(premium_close_bps,12),Abs(top_long_short_account_ratio_mean))",,,premium_close_bps:base_schema;top_long_short_account_ratio_mean:base_schema,PASS
a7ls28b_fcb54818f33cc409,basis_premium_like|age_x_volatility|positioning_like,seed_mul,parent_identity,3,age_x_volatility;basis_abs_168h;top_long_short_account_ratio_last,"Mul(Mul(Abs(ZScore(Mean(basis_abs_168h,24))),Sign(ZScore(Mean(age_x_volatility,24)))),Abs(ZScore(Mean(top_long_short_account_ratio_last,12))))",,age_x_volatility;basis_abs_168h,age_x_volatility:latent_schema;basis_abs_168h:latent_schema;top_long_short_account_ratio_last:base_schema,HOLD_CONTRACT_DRIFT_BACKFILL_REQUIRED
a7ls28b_68b9b5c0a35821b7,basis_premium_like|positioning_like,spread_rank,parent_identity,2,mark_trade_basis_bps;top_long_short_position_ratio_mean,"Sub(CSRank(ZScore(Mean(mark_trade_basis_bps,6))),CSRank(ZScore(Mean(top_long_short_position_ratio_mean,6))))",,,mark_trade_basis_bps:base_schema;top_long_short_position_ratio_mean:base_schema,PASS
a7ls28b_17d81bf5421298b5,basis_premium_like|positioning_like,spread_rank,parent_identity,2,global_long_short_account_ratio_last;premium_close_bps,"Sub(CSRank(TSRank(premium_close_bps,72)),CSRank(ZScore(Mean(global_long_short_account_ratio_last,48))))",,,global_long_short_account_ratio_last:base_schema;premium_close_bps:base_schema,PASS
a7ls28b_782e351b20b86fef,basis_premium_like|positioning_like,safe_div_abs,parent_identity,2,account_position_divergence;premium_close_bps,"SafeDiv(TSRank(premium_close_bps,6),Abs(Decay(account_position_divergence,240)))",,account_position_divergence,account_position_divergence:derived_dep_generated;premium_close_bps:base_schema,HOLD_CONTRACT_DRIFT_BACKFILL_REQUIRED
a7ls28b_53df2a0683bc85b8,open_interest_like|positioning_like|listing_age_like,seed_sub,parent_identity,2,age_percentile_active_universe;taker_buy_sell_volume_ratio_last,"Sub(ZScore(Mean(taker_buy_sell_volume_ratio_last,48)),CSRank(age_percentile_active_universe))",,age_percentile_active_universe,age_percentile_active_universe:latent_schema;taker_buy_sell_volume_ratio_last:base_schema,HOLD_CONTRACT_DRIFT_BACKFILL_REQUIRED
a7ls28b_3d205d41381f05d0,open_interest_like|positioning_like|regime_state,seed_gated_sign,parent_identity,2,basis_dislocation_state;taker_buy_sell_volume_ratio_last,"Mul(ZScore(Mean(taker_buy_sell_volume_ratio_last,48)),Sign(TSRank(basis_dislocation_state,336)))",,basis_dislocation_state,basis_dislocation_state:upper_alias;taker_buy_sell_volume_ratio_last:base_schema,HOLD_CONTRACT_DRIFT_BACKFILL_REQUIRED
a7ls28b_ba9bcdc72593aca1,open_interest_like|positioning_like,safe_div_abs,parent_identity,2,account_position_divergence;open_interest_change_24h,"SafeDiv(Abs(ZScore(Mean(open_interest_change_24h,168))),Abs(Decay(account_position_divergence,24)))",,account_position_divergence,account_position_divergence:derived_dep_generated;open_interest_change_24h:latent_schema,HOLD_CONTRACT_DRIFT_BACKFILL_REQUIRED
a7ls28b_8c7aab1ce8cae371,open_interest_like|positioning_like|regime_state,seed_gated_sign,parent_identity,2,rolling_coverage_168h;taker_buy_sell_volume_ratio_last,"Mul(ZScore(Mean(taker_buy_sell_volume_ratio_last,48)),Sign(TSRank(rolling_coverage_168h,4)))",,rolling_coverage_168h,rolling_coverage_168h:latent_schema;taker_buy_sell_volume_ratio_last:base_schema,HOLD_CONTRACT_DRIFT_BACKFILL_REQUIRED
a7ls28b_8d0baacc6f454740,basis_premium_like|age_x_volatility|positioning_like,seed_sub,parent_identity,3,age_x_volatility;basis_abs_168h;top_long_short_position_ratio_last,"Sub(Mul(Abs(ZScore(Mean(basis_abs_168h,12))),Sign(ZScore(Mean(age_x_volatility,12)))),Decay(top_long_short_position_ratio_last,2))",,age_x_volatility;basis_abs_168h,age_x_volatility:latent_schema;basis_abs_168h:latent_schema;top_long_short_position_ratio_last:base_schema,HOLD_CONTRACT_DRIFT_BACKFILL_REQUIRED
a7ls28b_b408cdc9753be9dd,basis_premium_like|age_x_volatility|positioning_like,seed_mul,parent_identity,3,age_x_volatility;basis_abs_168h;top_global_account_divergence,"Mul(Mul(Abs(ZScore(Mean(basis_abs_168h,24))),Sign(ZScore(Mean(age_x_volatility,24)))),Abs(ZScore(Mean(top_global_account_divergence,4))))",,age_x_volatility;basis_abs_168h;top_global_account_divergence,age_x_volatility:latent_schema;basis_abs_168h:latent_schema;top_global_account_divergence:derived_dep_generated,HOLD_CONTRACT_DRIFT_BACKFILL_REQUIRED
a7ls28b_a2021811ae6cbe06,basis_premium_like|age_x_volatility|positioning_like,seed_sub,parent_identity,3,age_x_volatility;basis_abs_168h;top_long_short_position_ratio_mean,"Sub(Mul(Abs(ZScore(Mean(basis_abs_168h,12))),Sign(ZScore(Mean(age_x_volatility,12)))),Decay(top_long_short_position_ratio_mean,3))",,age_x_volatility;basis_abs_168h,age_x_volatility:latent_schema;basis_abs_168h:latent_schema;top_long_short_position_ratio_mean:base_schema,HOLD_CONTRACT_DRIFT_BACKFILL_REQUIRED
a7ls28b_e0e283735be71bac,basis_premium_like|positioning_like,signed_spread,parent_identity,2,account_position_divergence;premium_close_bps,"Mul(Sub(CSRank(Decay(premium_close_bps,8)),CSRank(Abs(ZScore(Mean(account_position_divergence,48))))),Sign(Abs(ZScore(Mean(account_position_divergence,48)))))",,account_position_divergence,account_position_divergence:derived_dep_generated;premium_close_bps:base_schema,HOLD_CONTRACT_DRIFT_BACKFILL_REQUIRED
a7ls28b_9eefabccd3a3b173,basis_premium_like|positioning_like,spread_rank,parent_identity,2,account_position_divergence;mark_trade_basis_bps,"Sub(CSRank(TSRank(mark_trade_basis_bps,12)),CSRank(Clip(ZScore(account_position_divergence),-3,3)))",,account_position_divergence,account_position_divergence:derived_dep_generated;mark_trade_basis_bps:base_schema,HOLD_CONTRACT_DRIFT_BACKFILL_REQUIRED
a7ls28b_439de48ddab5d3c2,open_interest_like|positioning_like|regime_state,seed_gated_sign,parent_identity,2,market_breadth_state;taker_buy_sell_volume_ratio_last,"Mul(ZScore(Mean(taker_buy_sell_volume_ratio_last,48)),Sign(TSRank(market_breadth_state,336)))",,market_breadth_state,market_breadth_state:upper_alias;taker_buy_sell_volume_ratio_last:base_schema,HOLD_CONTRACT_DRIFT_BACKFILL_REQUIRED
a7ls28b_79b82c1ccd2c7728,open_interest_like|positioning_like|regime_state,seed_gated_sign,parent_identity,2,stress_proxy_state;taker_buy_sell_volume_ratio_last,"Mul(ZScore(Mean(taker_buy_sell_volume_ratio_last,48)),Sign(TSRank(stress_proxy_state,72)))",,stress_proxy_state,stress_proxy_state:upper_alias;taker_buy_sell_volume_ratio_last:base_schema,HOLD_CONTRACT_DRIFT_BACKFILL_REQUIRED
a7ls28b_bf0be571f0b71ada,basis_premium_like|positioning_like,signed_spread,parent_identity,2,mark_index_basis_bps;top_long_short_account_ratio_mean,"Mul(Sub(CSRank(Delta(mark_index_basis_bps,12)),CSRank(Decay(top_long_short_account_ratio_mean,48))),Sign(Decay(top_long_short_account_ratio_mean,48)))",,,mark_index_basis_bps:base_schema;top_long_short_account_ratio_mean:base_schema,PASS
a7ls28b_03fad400115b235e,basis_premium_like|positioning_like,signed_spread,parent_identity,2,global_long_short_account_ratio_mean;mark_index_basis_bps,"Mul(Sub(CSRank(Delta(mark_index_basis_bps,8)),CSRank(Decay(global_long_short_account_ratio_mean,6))),Sign(Decay(global_long_short_account_ratio_mean,6)))",,,global_long_short_account_ratio_mean:base_schema;mark_index_basis_bps:base_schema,PASS
a7ls28b_ffbc229440822287,open_interest_like|positioning_like,safe_div_abs,parent_identity,2,account_position_divergence;open_interest_value_last,"SafeDiv(ZScore(Mean(open_interest_value_last,4)),Abs(Mean(account_position_divergence,24)))",,account_position_divergence,account_position_divergence:derived_dep_generated;open_interest_value_last:base_schema,HOLD_CONTRACT_DRIFT_BACKFILL_REQUIRED
a7ls28b_3fa1db491238a7d3,basis_premium_like|positioning_like,spread_rank,parent_identity,2,premium_close_bps;top_long_short_account_ratio_last,"Sub(CSRank(Delta(premium_close_bps,24)),CSRank(Abs(ZScore(Mean(top_long_short_account_ratio_last,72)))))",,,premium_close_bps:base_schema;top_long_short_account_ratio_last:base_schema,PASS
a7ls28b_dce80ce7297a8418,open_interest_like|positioning_like|listing_age_like,seed_sub,parent_identity,2,listing_age_days;taker_buy_sell_volume_ratio_last,"Sub(ZScore(Mean(taker_buy_sell_volume_ratio_last,48)),Mean(listing_age_days,336))",,listing_age_days,listing_age_days:latent_schema;taker_buy_sell_volume_ratio_last:base_schema,HOLD_CONTRACT_DRIFT_BACKFILL_REQUIRED
a7ls28b_1af5ce2bfdaa1961,basis_premium_like|positioning_like,spread_rank,parent_identity,2,global_long_short_account_ratio_last;mark_index_basis_bps,"Sub(CSRank(TSRank(mark_index_basis_bps,12)),CSRank(Decay(global_long_short_account_ratio_last,3)))",,,global_long_short_account_ratio_last:base_schema;mark_index_basis_bps:base_schema,PASS
a7ls28b_0a34ad14ddb90d84,basis_premium_like|age_x_volatility|positioning_like,seed_mul,parent_identity,3,age_x_volatility;basis_abs_168h;top_long_short_account_ratio_mean,"Mul(Mul(Abs(ZScore(Mean(basis_abs_168h,24))),Sign(ZScore(Mean(age_x_volatility,24)))),top_long_short_account_ratio_mean)",,age_x_volatility;basis_abs_168h,age_x_volatility:latent_schema;basis_abs_168h:latent_schema;top_long_short_account_ratio_mean:base_schema,HOLD_CONTRACT_DRIFT_BACKFILL_REQUIRED
a7ls28b_45af0faabb6dc7ff,basis_premium_like|positioning_like,spread_rank,parent_identity,2,mark_index_basis_bps;top_long_short_account_ratio_last,"Sub(CSRank(Delta(mark_index_basis_bps,8)),CSRank(Decay(top_long_short_account_ratio_last,6)))",,,mark_index_basis_bps:base_schema;top_long_short_account_ratio_last:base_schema,PASS
a7ls28b_bc051ee6e0e72a50,basis_premium_like|positioning_like,spread_rank,parent_identity,2,mark_index_basis_bps;top_long_short_account_ratio_last,"Sub(CSRank(Abs(ZScore(Mean(mark_index_basis_bps,168)))),CSRank(ZScore(Mean(top_long_short_account_ratio_last,168))))",,,mark_index_basis_bps:base_schema;top_long_short_account_ratio_last:base_schema,PASS
a7ls28b_8ebc52531fefc0f8,open_interest_like|positioning_like|listing_age_like,seed_sub,parent_identity,2,log1p_listing_age_days;taker_buy_sell_volume_ratio_last,"Sub(ZScore(Mean(taker_buy_sell_volume_ratio_last,48)),CSRank(log1p_listing_age_days))",,log1p_listing_age_days,log1p_listing_age_days:latent_schema;taker_buy_sell_volume_ratio_last:base_schema,HOLD_CONTRACT_DRIFT_BACKFILL_REQUIRED
a7ls28b_5b4e29adfe564458,basis_premium_like|positioning_like,signed_spread,parent_identity,2,premium_close_bps;top_long_short_position_ratio_mean,"Mul(Sub(CSRank(Decay(premium_close_bps,4)),CSRank(Mean(top_long_short_position_ratio_mean,240))),Sign(Mean(top_long_short_position_ratio_mean,240)))",,,premium_close_bps:base_schema;top_long_short_position_ratio_mean:base_schema,PASS
a7ls28b_55842d48d18078d0,basis_premium_like|positioning_like,spread_rank,parent_identity,2,premium_abs_168h;top_long_short_position_ratio_last,"Sub(CSRank(Abs(ZScore(Mean(premium_abs_168h,48)))),CSRank(Mean(top_long_short_position_ratio_last,6)))",,premium_abs_168h,premium_abs_168h:latent_schema;top_long_short_position_ratio_last:base_schema,HOLD_CONTRACT_DRIFT_BACKFILL_REQUIRED
a7ls28b_9090559bca4f16c8,basis_premium_like|positioning_like,signed_spread,parent_identity,2,premium_close_bps;top_long_short_account_ratio_mean,"Mul(Sub(CSRank(TSRank(premium_close_bps,240)),CSRank(Decay(top_long_short_account_ratio_mean,4))),Sign(Decay(top_long_short_account_ratio_mean,4)))",,,premium_close_bps:base_schema;top_long_short_account_ratio_mean:base_schema,PASS
a7ls28b_134103cfbe051609,basis_premium_like|positioning_like,signed_spread,parent_identity,2,basis_abs_168h;top_long_short_position_ratio_mean,"Mul(Sub(CSRank(TSRank(basis_abs_168h,168)),CSRank(TSRank(top_long_short_position_ratio_mean,24))),Sign(TSRank(top_long_short_position_ratio_mean,24)))",,basis_abs_168h,basis_abs_168h:latent_schema;top_long_short_position_ratio_mean:base_schema,HOLD_CONTRACT_DRIFT_BACKFILL_REQUIRED
a7ls28b_9c14d5428d171478,open_interest_like|positioning_like|regime_state,seed_gated_sign,parent_identity,2,liquidity_cycle_state;taker_buy_sell_volume_ratio_last,"Mul(ZScore(Mean(taker_buy_sell_volume_ratio_last,48)),Sign(TSRank(liquidity_cycle_state,72)))",,liquidity_cycle_state,liquidity_cycle_state:upper_alias;taker_buy_sell_volume_ratio_last:base_schema,HOLD_CONTRACT_DRIFT_BACKFILL_REQUIRED
