candidate_id,fields,candidate_role,field_roles,role_violation,selected_alpha_like,control_dominated_premay,may_stress_failed,decision
a7al2q_10991f685ed433e6,index_close|open_interest_value_last,risk_defense_only,risk_exposure_or_control_like|unclassified_generator_ingredient,False,False,True,False,DIAGNOSTIC_ONLY
a7al2q_47801cd1758f1a59,mark_close|open_interest_value_last,risk_defense_only,risk_exposure_or_control_like|unclassified_generator_ingredient,False,False,True,False,DIAGNOSTIC_ONLY
a7al2q_998170f6f77a3ad5,index_close|open_interest_value_last,risk_defense_only,risk_exposure_or_control_like|unclassified_generator_ingredient,False,False,False,False,DIAGNOSTIC_ONLY
a7al2q_2ec6136e6ff32eb3,mark_close|open_interest_value_mean,weak_or_unclassified,unclassified_generator_ingredient,False,False,False,True,DIAGNOSTIC_ONLY
a7al2q_bf3334b7583736bb,index_close|open_interest_last,risk_defense_only,risk_exposure_or_control_like|unclassified_generator_ingredient,False,False,False,False,DIAGNOSTIC_ONLY
a7al2q_881df3d6813ae28f,index_close|open_interest_last,risk_defense_only,risk_exposure_or_control_like|unclassified_generator_ingredient,False,False,True,False,DIAGNOSTIC_ONLY
a7al2q_070161fc8a8254ad,mark_close|open_interest_last,risk_defense_only,risk_exposure_or_control_like|unclassified_generator_ingredient,False,False,True,False,DIAGNOSTIC_ONLY
a7al2q_cc855a9370bdce5f,open_interest_last|trade_close,risk_defense_only,risk_exposure_or_control_like|unclassified_generator_ingredient,False,False,False,False,DIAGNOSTIC_ONLY
a7al2q_3ba41c66a0de2fa2,mark_close|open_interest_mean,weak_or_unclassified,unclassified_generator_ingredient,False,False,True,False,DIAGNOSTIC_ONLY
a7al2q_c377ad2413f031d4,index_close|open_interest_last,risk_defense_only,risk_exposure_or_control_like|unclassified_generator_ingredient,False,False,False,False,DIAGNOSTIC_ONLY
a7al2q_b6b2f5aba19390f8,open_interest_last|trade_close,risk_defense_only,risk_exposure_or_control_like|unclassified_generator_ingredient,False,False,True,False,DIAGNOSTIC_ONLY
a7al2q_10e647a6a770bab4,index_close|open_interest_mean,weak_or_unclassified,unclassified_generator_ingredient,False,False,True,False,DIAGNOSTIC_ONLY
a7al2q_0f14395724f60a61,mark_close|open_interest_value_mean,weak_or_unclassified,unclassified_generator_ingredient,False,False,True,False,DIAGNOSTIC_ONLY
a7al2q_9da9ae8593271dbc,open_interest_mean|trade_close,weak_or_unclassified,unclassified_generator_ingredient,False,False,False,False,DIAGNOSTIC_ONLY
a7al2q_917caa326b091b44,mark_close|open_interest_value_mean,weak_or_unclassified,unclassified_generator_ingredient,False,False,False,False,DIAGNOSTIC_ONLY
a7al2q_d7066321956fffb8,open_interest_mean|trade_close,weak_or_unclassified,unclassified_generator_ingredient,False,False,True,False,DIAGNOSTIC_ONLY
a7al2q_f36ca1ecd3f7a0c6,mark_close|open_interest_last,risk_defense_only,risk_exposure_or_control_like|unclassified_generator_ingredient,False,False,True,False,DIAGNOSTIC_ONLY
a7al2q_c3ec84f31f7ebaa6,index_close|open_interest_last,risk_defense_only,risk_exposure_or_control_like|unclassified_generator_ingredient,False,False,True,False,DIAGNOSTIC_ONLY
a7al2q_6954d9abe047da3e,index_close|open_interest_value_mean,weak_or_unclassified,unclassified_generator_ingredient,False,False,False,False,DIAGNOSTIC_ONLY
a7al2q_47cecf7d2aa2afa1,index_close|open_interest_mean,weak_or_unclassified,unclassified_generator_ingredient,False,False,False,False,DIAGNOSTIC_ONLY
a7al2q_69d146749c30da3c,index_close|open_interest_value_mean,weak_or_unclassified,unclassified_generator_ingredient,False,False,False,True,DIAGNOSTIC_ONLY
a7al2q_07a399f87a92a0d2,index_close|open_interest_last,risk_defense_only,risk_exposure_or_control_like|unclassified_generator_ingredient,False,False,True,False,DIAGNOSTIC_ONLY
a7al2q_e3cdfb5cac370798,mark_close|open_interest_mean,weak_or_unclassified,unclassified_generator_ingredient,False,False,True,False,DIAGNOSTIC_ONLY
a7al2q_8110f9704918d1df,mark_close|open_interest_last,risk_defense_only,risk_exposure_or_control_like|unclassified_generator_ingredient,False,False,True,False,DIAGNOSTIC_ONLY
a7al2q_532a063383e97c15,mark_close|open_interest_value_last,risk_defense_only,risk_exposure_or_control_like|unclassified_generator_ingredient,False,False,True,False,DIAGNOSTIC_ONLY
a7al2q_1174aa64fb8b7d3d,open_interest_value_mean|trade_close,weak_or_unclassified,unclassified_generator_ingredient,False,False,True,False,DIAGNOSTIC_ONLY
a7al2q_75f9ead2834aaedf,mark_close|open_interest_value_mean,weak_or_unclassified,unclassified_generator_ingredient,False,False,False,False,DIAGNOSTIC_ONLY
a7al2q_9fa3d42c3de13e96,mark_close|open_interest_value_last,risk_defense_only,risk_exposure_or_control_like|unclassified_generator_ingredient,False,False,True,False,DIAGNOSTIC_ONLY
a7al2q_b73c1ada9ca478f6,index_close|open_interest_mean,weak_or_unclassified,unclassified_generator_ingredient,False,False,True,False,DIAGNOSTIC_ONLY
a7al2q_3abec814a5c6d0df,mark_close|open_interest_value_mean,weak_or_unclassified,unclassified_generator_ingredient,False,False,False,True,DIAGNOSTIC_ONLY
a7al2q_d213a791f5c9668e,open_interest_value_last|trade_close,risk_defense_only,risk_exposure_or_control_like|unclassified_generator_ingredient,False,False,True,False,DIAGNOSTIC_ONLY
a7al2q_06b1b40ee9bf7624,index_close|open_interest_last,risk_defense_only,risk_exposure_or_control_like|unclassified_generator_ingredient,False,False,False,False,DIAGNOSTIC_ONLY
a7al2q_90f7ae222d02bfc8,mark_close|open_interest_mean,weak_or_unclassified,unclassified_generator_ingredient,False,False,False,False,DIAGNOSTIC_ONLY
a7al2q_e2858ea698520bc1,open_interest_value_last|trade_close,risk_defense_only,risk_exposure_or_control_like|unclassified_generator_ingredient,False,False,False,False,DIAGNOSTIC_ONLY
a7al2q_b03bff273b1b5b3d,open_interest_value_mean|trade_close,weak_or_unclassified,unclassified_generator_ingredient,False,False,True,False,DIAGNOSTIC_ONLY
a7al2q_b14aea393d7309d7,mark_close|open_interest_last,risk_defense_only,risk_exposure_or_control_like|unclassified_generator_ingredient,False,False,True,False,DIAGNOSTIC_ONLY
a7al2q_f7bc64abcc3b500d,mark_close|open_interest_value_last,risk_defense_only,risk_exposure_or_control_like|unclassified_generator_ingredient,False,False,True,False,DIAGNOSTIC_ONLY
a7al2q_0b3baa3540853655,index_close|open_interest_mean,weak_or_unclassified,unclassified_generator_ingredient,False,False,True,False,DIAGNOSTIC_ONLY
a7al2q_4d10b72a6d4c6c50,index_close|open_interest_last,risk_defense_only,risk_exposure_or_control_like|unclassified_generator_ingredient,False,False,True,False,DIAGNOSTIC_ONLY
a7al2q_85b928d3346816a5,open_interest_value_mean|trade_close,weak_or_unclassified,unclassified_generator_ingredient,False,False,False,False,DIAGNOSTIC_ONLY
a7al2q_18f61565dad3e1fc,open_interest_mean|trade_close,weak_or_unclassified,unclassified_generator_ingredient,False,False,True,False,DIAGNOSTIC_ONLY
a7al2q_79c5659c69a1d823,index_close|open_interest_value_last,risk_defense_only,risk_exposure_or_control_like|unclassified_generator_ingredient,False,False,True,False,DIAGNOSTIC_ONLY
a7al2q_ecb245360a346fd3,mark_close|open_interest_last,risk_defense_only,risk_exposure_or_control_like|unclassified_generator_ingredient,False,False,True,False,DIAGNOSTIC_ONLY
a7al2q_88e4269598df6dbf,open_interest_last|trade_close,risk_defense_only,risk_exposure_or_control_like|unclassified_generator_ingredient,False,False,False,False,DIAGNOSTIC_ONLY
a7al2q_5732109429ac7cd1,open_interest_value_last|trade_close,risk_defense_only,risk_exposure_or_control_like|unclassified_generator_ingredient,False,False,True,False,DIAGNOSTIC_ONLY
a7al2q_d040a333095c93dc,mark_close|open_interest_value_mean,weak_or_unclassified,unclassified_generator_ingredient,False,False,False,False,DIAGNOSTIC_ONLY
a7al2q_83c8025d58c16623,mark_close|open_interest_value_mean,weak_or_unclassified,unclassified_generator_ingredient,False,False,True,False,DIAGNOSTIC_ONLY
a7al2q_352447c0a31828fb,mark_close|open_interest_value_mean,weak_or_unclassified,unclassified_generator_ingredient,False,False,False,False,DIAGNOSTIC_ONLY
a7al2q_ce22ea0cc5740a03,index_close|open_interest_value_mean,weak_or_unclassified,unclassified_generator_ingredient,False,False,True,False,DIAGNOSTIC_ONLY
a7al2q_0f27f41257203d75,mark_close|open_interest_last,risk_defense_only,risk_exposure_or_control_like|unclassified_generator_ingredient,False,False,False,False,DIAGNOSTIC_ONLY
a7al2q_dca37c649bd07b2c,index_close|open_interest_last,risk_defense_only,risk_exposure_or_control_like|unclassified_generator_ingredient,False,False,True,False,DIAGNOSTIC_ONLY
a7al2q_5da100b2822dc1a6,mark_close|open_interest_value_last,risk_defense_only,risk_exposure_or_control_like|unclassified_generator_ingredient,False,False,False,True,DIAGNOSTIC_ONLY
a7al2q_be7b3f3711ce725c,open_interest_mean|trade_close,weak_or_unclassified,unclassified_generator_ingredient,False,False,True,False,DIAGNOSTIC_ONLY
a7al2q_7ab7421584d602af,index_close|open_interest_mean,weak_or_unclassified,unclassified_generator_ingredient,False,False,True,False,DIAGNOSTIC_ONLY
a7al2q_a33a56cf65a5b0c2,open_interest_value_last|trade_close,risk_defense_only,risk_exposure_or_control_like|unclassified_generator_ingredient,False,False,True,False,DIAGNOSTIC_ONLY
a7al2q_87fb51bebe303146,open_interest_mean|trade_close,weak_or_unclassified,unclassified_generator_ingredient,False,False,False,False,DIAGNOSTIC_ONLY
a7al2q_4e2ad10685353df3,index_close|open_interest_value_last,risk_defense_only,risk_exposure_or_control_like|unclassified_generator_ingredient,False,False,True,False,DIAGNOSTIC_ONLY
a7al2q_14a9d5bb8e4136d2,open_interest_value_mean|trade_close,weak_or_unclassified,unclassified_generator_ingredient,False,False,False,False,DIAGNOSTIC_ONLY
a7al2q_e701bdac8bedafcb,open_interest_value_mean|trade_close,weak_or_unclassified,unclassified_generator_ingredient,False,False,False,False,DIAGNOSTIC_ONLY
a7al2q_ce8a620efc85d44a,open_interest_mean|trade_close,weak_or_unclassified,unclassified_generator_ingredient,False,False,True,False,DIAGNOSTIC_ONLY
a7al2q_33d51890b0068eb6,mark_close|open_interest_value_mean,weak_or_unclassified,unclassified_generator_ingredient,False,False,True,True,DIAGNOSTIC_ONLY
a7al2q_af8aba41cb19fdbe,open_interest_mean|trade_close,weak_or_unclassified,unclassified_generator_ingredient,False,False,True,False,DIAGNOSTIC_ONLY
a7al2q_0d7351f49adf11c3,open_interest_value_last|trade_close,risk_defense_only,risk_exposure_or_control_like|unclassified_generator_ingredient,False,False,True,False,DIAGNOSTIC_ONLY
a7al2q_0531d6565dc36cea,index_close|open_interest_last,risk_defense_only,risk_exposure_or_control_like|unclassified_generator_ingredient,False,False,True,False,DIAGNOSTIC_ONLY
a7al2q_a7da20bb164fda71,index_close|open_interest_value_last,risk_defense_only,risk_exposure_or_control_like|unclassified_generator_ingredient,False,False,True,False,DIAGNOSTIC_ONLY
a7al2q_5283ae4eef4cf18b,index_close|open_interest_mean,weak_or_unclassified,unclassified_generator_ingredient,False,False,True,False,DIAGNOSTIC_ONLY
a7al2q_d9326bf79233bbd1,open_interest_value_last|trade_close,risk_defense_only,risk_exposure_or_control_like|unclassified_generator_ingredient,False,False,False,False,DIAGNOSTIC_ONLY
a7al2q_8b64d810bb3b0c96,index_close|open_interest_value_last,risk_defense_only,risk_exposure_or_control_like|unclassified_generator_ingredient,False,False,True,False,DIAGNOSTIC_ONLY
a7al2q_fbec7059dfeab1ab,index_close|open_interest_value_last,risk_defense_only,risk_exposure_or_control_like|unclassified_generator_ingredient,False,False,True,False,DIAGNOSTIC_ONLY
a7al2q_5b16140570d34ff8,mark_close|open_interest_value_last,risk_defense_only,risk_exposure_or_control_like|unclassified_generator_ingredient,False,False,True,False,DIAGNOSTIC_ONLY
a7al2q_bf78a22567a7afd9,index_close|open_interest_value_last,risk_defense_only,risk_exposure_or_control_like|unclassified_generator_ingredient,False,False,True,False,DIAGNOSTIC_ONLY
a7al2q_c09e1651a5aa0926,mark_close|open_interest_value_mean,weak_or_unclassified,unclassified_generator_ingredient,False,False,True,False,DIAGNOSTIC_ONLY
a7al2q_132c2a7c6c4a9142,open_interest_value_mean|trade_close,weak_or_unclassified,unclassified_generator_ingredient,False,False,False,True,DIAGNOSTIC_ONLY
a7al2q_7cf43aae9a3604a4,mark_close|open_interest_value_last,risk_defense_only,risk_exposure_or_control_like|unclassified_generator_ingredient,False,False,True,False,DIAGNOSTIC_ONLY
a7al2q_c4bf2d1dfd215081,index_close|open_interest_value_last,risk_defense_only,risk_exposure_or_control_like|unclassified_generator_ingredient,False,False,False,False,DIAGNOSTIC_ONLY
a7al2q_d8a7f2027987e6a0,open_interest_mean|trade_close,weak_or_unclassified,unclassified_generator_ingredient,False,False,True,False,DIAGNOSTIC_ONLY
a7al2q_7aa802343f22bc98,open_interest_value_last|trade_close,risk_defense_only,risk_exposure_or_control_like|unclassified_generator_ingredient,False,False,False,False,DIAGNOSTIC_ONLY
a7al2q_894ef6556dc4dd53,index_close|open_interest_value_mean,weak_or_unclassified,unclassified_generator_ingredient,False,False,True,False,DIAGNOSTIC_ONLY
a7al2q_03b7b3b82fe9b3a9,index_close|open_interest_last,risk_defense_only,risk_exposure_or_control_like|unclassified_generator_ingredient,False,False,False,False,DIAGNOSTIC_ONLY
a7al2q_9866d0a51ce034e3,index_close|open_interest_last,risk_defense_only,risk_exposure_or_control_like|unclassified_generator_ingredient,False,False,False,False,DIAGNOSTIC_ONLY
a7al2q_2757f60819627052,mark_close|open_interest_value_last,risk_defense_only,risk_exposure_or_control_like|unclassified_generator_ingredient,False,False,False,False,DIAGNOSTIC_ONLY
a7al2q_86bb796aa404fadd,index_close|open_interest_value_mean,weak_or_unclassified,unclassified_generator_ingredient,False,False,True,False,DIAGNOSTIC_ONLY
a7al2q_e6be44ccbba38b66,mark_close|open_interest_value_last,risk_defense_only,risk_exposure_or_control_like|unclassified_generator_ingredient,False,False,True,False,DIAGNOSTIC_ONLY
a7al2q_bacf83c4aa67df04,index_close|open_interest_value_last,risk_defense_only,risk_exposure_or_control_like|unclassified_generator_ingredient,False,False,True,False,DIAGNOSTIC_ONLY
a7al2q_0949a5d398a54628,mark_close|open_interest_mean,weak_or_unclassified,unclassified_generator_ingredient,False,False,False,False,DIAGNOSTIC_ONLY
a7al2q_ca72f5849cff347a,mark_close|open_interest_value_last,risk_defense_only,risk_exposure_or_control_like|unclassified_generator_ingredient,False,False,False,True,DIAGNOSTIC_ONLY
a7al2q_c46fcfb9f5cfa44a,open_interest_mean|trade_close,weak_or_unclassified,unclassified_generator_ingredient,False,False,True,False,DIAGNOSTIC_ONLY
a7al2q_a5c03992d01f4b7e,open_interest_value_last|trade_close,risk_defense_only,risk_exposure_or_control_like|unclassified_generator_ingredient,False,False,True,False,DIAGNOSTIC_ONLY
a7al2q_9545e1ba702eb1b5,mark_close|open_interest_value_last,risk_defense_only,risk_exposure_or_control_like|unclassified_generator_ingredient,False,False,False,False,DIAGNOSTIC_ONLY
a7al2q_fe98f845b4729cb0,mark_close|open_interest_mean,weak_or_unclassified,unclassified_generator_ingredient,False,False,True,False,DIAGNOSTIC_ONLY
a7al2q_de61a31e0f94786b,open_interest_value_last|trade_close,risk_defense_only,risk_exposure_or_control_like|unclassified_generator_ingredient,False,False,True,False,DIAGNOSTIC_ONLY
a7al2q_100786d679e5b988,index_close|open_interest_value_last,risk_defense_only,risk_exposure_or_control_like|unclassified_generator_ingredient,False,False,False,True,DIAGNOSTIC_ONLY
a7al2q_052666e2602c6204,mark_close|open_interest_value_mean,weak_or_unclassified,unclassified_generator_ingredient,False,False,True,False,DIAGNOSTIC_ONLY
a7al2q_cedb34350abda2c6,open_interest_mean|trade_close,weak_or_unclassified,unclassified_generator_ingredient,False,False,False,False,DIAGNOSTIC_ONLY
a7al2q_79ce9904a7c3ba7d,open_interest_value_last|trade_close,risk_defense_only,risk_exposure_or_control_like|unclassified_generator_ingredient,False,False,True,False,DIAGNOSTIC_ONLY
a7al2q_cdee002b3cb51028,open_interest_value_last|trade_close,risk_defense_only,risk_exposure_or_control_like|unclassified_generator_ingredient,False,False,True,False,DIAGNOSTIC_ONLY
a7al2q_3879b9abd4821dcc,open_interest_value_mean|trade_close,weak_or_unclassified,unclassified_generator_ingredient,False,False,False,False,DIAGNOSTIC_ONLY
a7al2q_61b0e773f54d336e,mark_close|open_interest_last,risk_defense_only,risk_exposure_or_control_like|unclassified_generator_ingredient,False,False,True,False,DIAGNOSTIC_ONLY
a7al2q_43bff2a782470d6e,mark_close|open_interest_value_last,risk_defense_only,risk_exposure_or_control_like|unclassified_generator_ingredient,False,False,False,False,DIAGNOSTIC_ONLY
a7al2q_ad8239fed28311c1,open_interest_value_mean|trade_close,weak_or_unclassified,unclassified_generator_ingredient,False,False,True,False,DIAGNOSTIC_ONLY
a7al2q_65fb8055686e568f,index_close|open_interest_last,risk_defense_only,risk_exposure_or_control_like|unclassified_generator_ingredient,False,False,True,False,DIAGNOSTIC_ONLY
a7al2q_39631109514d8381,index_close|open_interest_last,risk_defense_only,risk_exposure_or_control_like|unclassified_generator_ingredient,False,False,True,False,DIAGNOSTIC_ONLY
a7al2q_c5d66518cfe91753,open_interest_value_last|trade_close,risk_defense_only,risk_exposure_or_control_like|unclassified_generator_ingredient,False,False,True,False,DIAGNOSTIC_ONLY
a7al2q_c547c12042501b74,index_close|open_interest_value_last,risk_defense_only,risk_exposure_or_control_like|unclassified_generator_ingredient,False,False,True,False,DIAGNOSTIC_ONLY
a7al2q_341c89128014bf39,mark_close|open_interest_value_last,risk_defense_only,risk_exposure_or_control_like|unclassified_generator_ingredient,False,False,False,False,DIAGNOSTIC_ONLY
a7al2q_138f2287b78a8f65,mark_close|open_interest_value_last,risk_defense_only,risk_exposure_or_control_like|unclassified_generator_ingredient,False,False,False,False,DIAGNOSTIC_ONLY
a7al2q_aab34a948f9e3b64,index_close|open_interest_value_last,risk_defense_only,risk_exposure_or_control_like|unclassified_generator_ingredient,False,False,False,False,DIAGNOSTIC_ONLY
a7al2q_f6acc570273f4779,open_interest_value_mean|trade_close,weak_or_unclassified,unclassified_generator_ingredient,False,False,True,False,DIAGNOSTIC_ONLY
a7al2q_517402c174410890,index_close|open_interest_value_last,risk_defense_only,risk_exposure_or_control_like|unclassified_generator_ingredient,False,False,False,False,DIAGNOSTIC_ONLY
a7al2q_9504239d457743a7,index_close|open_interest_last,risk_defense_only,risk_exposure_or_control_like|unclassified_generator_ingredient,False,False,False,False,DIAGNOSTIC_ONLY
a7al2q_1a74d652104b593d,mark_close|open_interest_mean,weak_or_unclassified,unclassified_generator_ingredient,False,False,True,False,DIAGNOSTIC_ONLY
a7al2q_a7580edea115ee15,mark_close|open_interest_value_mean,weak_or_unclassified,unclassified_generator_ingredient,False,False,False,False,DIAGNOSTIC_ONLY
a7al2q_165d460c6fe4efb2,index_close|open_interest_value_last,risk_defense_only,risk_exposure_or_control_like|unclassified_generator_ingredient,False,False,True,False,DIAGNOSTIC_ONLY
a7al2q_21e726a216c59eff,open_interest_last|trade_close,risk_defense_only,risk_exposure_or_control_like|unclassified_generator_ingredient,False,False,True,False,DIAGNOSTIC_ONLY
a7al2q_4194a7bf5b871ea7,index_close|open_interest_value_last,risk_defense_only,risk_exposure_or_control_like|unclassified_generator_ingredient,False,False,True,False,DIAGNOSTIC_ONLY
a7al2q_edb77f58a5decea7,index_close|open_interest_mean,weak_or_unclassified,unclassified_generator_ingredient,False,False,True,False,DIAGNOSTIC_ONLY
a7al2q_df339788dddb7322,mark_close|open_interest_mean,weak_or_unclassified,unclassified_generator_ingredient,False,False,True,False,DIAGNOSTIC_ONLY
a7al2q_c71837a81f389a41,index_close|open_interest_value_last,risk_defense_only,risk_exposure_or_control_like|unclassified_generator_ingredient,False,False,True,False,DIAGNOSTIC_ONLY
a7al2q_706253017908e57d,mark_close|open_interest_last,risk_defense_only,risk_exposure_or_control_like|unclassified_generator_ingredient,False,False,True,False,DIAGNOSTIC_ONLY
a7al2q_aced101952a66c40,open_interest_mean|trade_close,weak_or_unclassified,unclassified_generator_ingredient,False,False,True,False,DIAGNOSTIC_ONLY
a7al2q_dd469285431f6901,index_close|open_interest_mean,weak_or_unclassified,unclassified_generator_ingredient,False,False,True,False,DIAGNOSTIC_ONLY
a7al2q_2ceedb15beab602b,open_interest_value_mean|trade_close,weak_or_unclassified,unclassified_generator_ingredient,False,False,False,False,DIAGNOSTIC_ONLY
a7al2q_e64593ae611d474b,index_close|open_interest_value_mean,weak_or_unclassified,unclassified_generator_ingredient,False,False,True,False,DIAGNOSTIC_ONLY
a7al2q_fd69cd2051870a73,mark_close|open_interest_value_last,risk_defense_only,risk_exposure_or_control_like|unclassified_generator_ingredient,False,False,True,False,DIAGNOSTIC_ONLY
a7al2q_4f07f1169b30d5df,mark_close|open_interest_value_last,risk_defense_only,risk_exposure_or_control_like|unclassified_generator_ingredient,False,False,False,False,DIAGNOSTIC_ONLY
a7al2q_f864cf9d943df0c8,mark_close|open_interest_value_last,risk_defense_only,risk_exposure_or_control_like|unclassified_generator_ingredient,False,False,True,False,DIAGNOSTIC_ONLY
a7al2q_929e4e1ec2e59b6a,index_close|open_interest_mean,weak_or_unclassified,unclassified_generator_ingredient,False,False,True,False,DIAGNOSTIC_ONLY
a7al2q_aaae965cf0cf078e,index_close|open_interest_value_mean,weak_or_unclassified,unclassified_generator_ingredient,False,False,False,False,DIAGNOSTIC_ONLY
a7al2q_24b45ff7d122b8c7,open_interest_mean|trade_close,weak_or_unclassified,unclassified_generator_ingredient,False,False,False,False,DIAGNOSTIC_ONLY
a7al2q_0133ba7e904144bd,mark_close|open_interest_last,risk_defense_only,risk_exposure_or_control_like|unclassified_generator_ingredient,False,False,True,False,DIAGNOSTIC_ONLY
a7al2q_dde5777b716a3ad2,index_close|open_interest_value_last,risk_defense_only,risk_exposure_or_control_like|unclassified_generator_ingredient,False,False,False,False,DIAGNOSTIC_ONLY
a7al2q_8b401291d0c3a28f,index_close|open_interest_value_mean,weak_or_unclassified,unclassified_generator_ingredient,False,False,True,False,DIAGNOSTIC_ONLY
a7al2q_781b0a6856b6b231,open_interest_value_mean|trade_close,weak_or_unclassified,unclassified_generator_ingredient,False,False,True,False,DIAGNOSTIC_ONLY
