source_row_ordinal,repo_ref,commit_sha,run_id,data_release,evidence_role,superseded,authoritative_now,derived_feature_id,production_family,transform,declared_base_fields,effective_spec_dependencies,base_dependency_set,canonical_information_axis,axis_resolution_status,static_independence_status,unit_signature,window_family,transform_family,nested_derivation_depth,algebraic_equivalence,equivalence_group_id,equivalence_group_size_including_referenced_base_when_applicable,monotonic_rank_equivalence_risk,scope_restrictions,formula_provenance_status,formula_evidence,reconstructed_expression,expression_sha256,runtime_loaded,mapping_status,audit_notes
11,main@09ac397c61b0b462497e9a8c0ea84981cc6a93f9,09ac397c61b0b462497e9a8c0ea84981cc6a93f9,NOT_APPLICABLE_STATIC_AUDIT,STATIC_HASHED_INVENTORY_NO_NUMERIC_DATA,STATIC_FEATURE_SPACE_QUALIFICATION,false,true,Decay_8h__agg_trade_count,rolling_self_reproduction,Decay,agg_trade_count,agg_trade_count,agg_trade_count,TRADE_ACTIVITY_COUNT,RESOLVED_CANONICAL_DEPENDENCY_BUCKET,NOT_IDENTIFIABLE_STATICALLY,COUNT,8H_ROLLING,EXPONENTIAL_SMOOTHING,1,NONE_PROVEN,,0,NONE_PROVEN,STATIC_SPEC_NOT_PROOF_OF_FULL_MATERIALIZATION;STATIC_ONLY_NOT_CURRENT_RUNTIME_LOADED;AGG_MASK_REQUIRED,HISTORICAL_DRY_RUN_FORMATTER_AND_REPLAY_EVALUATOR_RECOVERED,git:1ed5acd:archive/deprecated_crypto_a7_20260527/scripts/scripts/crypto_a7v3_agg_aware_candidate_dry_run.py;git:1ed5acd:archive/deprecated_crypto_a7_20260527/scripts/scripts/crypto_a7v5_small_replay_smoke.py,"Decay(agg_trade_count,8)",BAF03DA5AFDA34B47CD6700E4A74FD0369AA3E99C25FD874D6FC02F86DC8518F,false,STATIC_ONLY,
12,main@09ac397c61b0b462497e9a8c0ea84981cc6a93f9,09ac397c61b0b462497e9a8c0ea84981cc6a93f9,NOT_APPLICABLE_STATIC_AUDIT,STATIC_HASHED_INVENTORY_NO_NUMERIC_DATA,STATIC_FEATURE_SPACE_QUALIFICATION,false,true,RollingMin_8h__agg_trade_count,rolling_self_reproduction,RollingMin,agg_trade_count,agg_trade_count,agg_trade_count,TRADE_ACTIVITY_COUNT,RESOLVED_CANONICAL_DEPENDENCY_BUCKET,NOT_IDENTIFIABLE_STATICALLY,COUNT,8H_ROLLING,ROLLING_EXTREME,1,NONE_PROVEN,,0,NONE_PROVEN,STATIC_SPEC_NOT_PROOF_OF_FULL_MATERIALIZATION;STATIC_ONLY_NOT_CURRENT_RUNTIME_LOADED;AGG_MASK_REQUIRED,HISTORICAL_DRY_RUN_FORMATTER_AND_REPLAY_EVALUATOR_RECOVERED,git:1ed5acd:archive/deprecated_crypto_a7_20260527/scripts/scripts/crypto_a7v3_agg_aware_candidate_dry_run.py;git:1ed5acd:archive/deprecated_crypto_a7_20260527/scripts/scripts/crypto_a7v5_small_replay_smoke.py,"RollingMin(agg_trade_count,8)",78377CA6C841DE3D931BD7FC68F3CB26D34143D5F88176BDFF897FB8CE1326C5,false,STATIC_ONLY,
13,main@09ac397c61b0b462497e9a8c0ea84981cc6a93f9,09ac397c61b0b462497e9a8c0ea84981cc6a93f9,NOT_APPLICABLE_STATIC_AUDIT,STATIC_HASHED_INVENTORY_NO_NUMERIC_DATA,STATIC_FEATURE_SPACE_QUALIFICATION,false,true,RollingMax_8h__agg_trade_count,rolling_self_reproduction,RollingMax,agg_trade_count,agg_trade_count,agg_trade_count,TRADE_ACTIVITY_COUNT,RESOLVED_CANONICAL_DEPENDENCY_BUCKET,NOT_IDENTIFIABLE_STATICALLY,COUNT,8H_ROLLING,ROLLING_EXTREME,1,NONE_PROVEN,,0,NONE_PROVEN,STATIC_SPEC_NOT_PROOF_OF_FULL_MATERIALIZATION;STATIC_ONLY_NOT_CURRENT_RUNTIME_LOADED;AGG_MASK_REQUIRED,HISTORICAL_DRY_RUN_FORMATTER_AND_REPLAY_EVALUATOR_RECOVERED,git:1ed5acd:archive/deprecated_crypto_a7_20260527/scripts/scripts/crypto_a7v3_agg_aware_candidate_dry_run.py;git:1ed5acd:archive/deprecated_crypto_a7_20260527/scripts/scripts/crypto_a7v5_small_replay_smoke.py,"RollingMax(agg_trade_count,8)",BB5086C5E0B7DA27278A6EAB783B7DF5AB7CD2DC6D42A225FF1A2366BCF6B6B7,false,STATIC_ONLY,
14,main@09ac397c61b0b462497e9a8c0ea84981cc6a93f9,09ac397c61b0b462497e9a8c0ea84981cc6a93f9,NOT_APPLICABLE_STATIC_AUDIT,STATIC_HASHED_INVENTORY_NO_NUMERIC_DATA,STATIC_FEATURE_SPACE_QUALIFICATION,false,true,ZScore_8h__agg_trade_count,rolling_self_reproduction,ZScore,agg_trade_count,agg_trade_count,agg_trade_count,TRADE_ACTIVITY_COUNT,RESOLVED_CANONICAL_DEPENDENCY_BUCKET,NOT_IDENTIFIABLE_STATICALLY,DIMENSIONLESS,8H_ROLLING,ROLLING_MEAN_THEN_CROSS_SECTIONAL_ZSCORE,2,NONE_PROVEN,,0,NONE_PROVEN,STATIC_SPEC_NOT_PROOF_OF_FULL_MATERIALIZATION;STATIC_ONLY_NOT_CURRENT_RUNTIME_LOADED;AGG_MASK_REQUIRED;DECLARED_SAME_SYMBOL_BUT_EXECUTED_CROSS_SECTIONALLY;EFFECTIVE_CORE3_CROSS_SECTIONAL_DOF_AT_MOST_2,HISTORICAL_DRY_RUN_FORMATTER_AND_REPLAY_EVALUATOR_RECOVERED,git:1ed5acd:archive/deprecated_crypto_a7_20260527/scripts/scripts/crypto_a7v3_agg_aware_candidate_dry_run.py;git:1ed5acd:archive/deprecated_crypto_a7_20260527/scripts/scripts/crypto_a7v5_small_replay_smoke.py,"ZScore(TSMean(agg_trade_count,8))",21614ED0FE9DBFD71DF7F9D0EBD27A32C80DBA9AECF0F7A5E76AC98B2C12330D,false,STATIC_ONLY,"historical formatter emits ZScore(TSMean(field,window)); evaluator implements ZScore as row-wise cross-sectional z-score"
15,main@09ac397c61b0b462497e9a8c0ea84981cc6a93f9,09ac397c61b0b462497e9a8c0ea84981cc6a93f9,NOT_APPLICABLE_STATIC_AUDIT,STATIC_HASHED_INVENTORY_NO_NUMERIC_DATA,STATIC_FEATURE_SPACE_QUALIFICATION,false,true,TSMean_12h__agg_trade_count,rolling_self_reproduction,TSMean,agg_trade_count,agg_trade_count,agg_trade_count,TRADE_ACTIVITY_COUNT,RESOLVED_CANONICAL_DEPENDENCY_BUCKET,NOT_IDENTIFIABLE_STATICALLY,COUNT,12H_ROLLING,ROLLING_LOCATION,1,NONE_PROVEN,,0,NONE_PROVEN,STATIC_SPEC_NOT_PROOF_OF_FULL_MATERIALIZATION;STATIC_ONLY_NOT_CURRENT_RUNTIME_LOADED;AGG_MASK_REQUIRED,HISTORICAL_DRY_RUN_FORMATTER_AND_REPLAY_EVALUATOR_RECOVERED,git:1ed5acd:archive/deprecated_crypto_a7_20260527/scripts/scripts/crypto_a7v3_agg_aware_candidate_dry_run.py;git:1ed5acd:archive/deprecated_crypto_a7_20260527/scripts/scripts/crypto_a7v5_small_replay_smoke.py,"TSMean(agg_trade_count,12)",5EDEEC7944328BA695AD3D9FFCF85B9B93F0AE5000D82BD4EA8BB91551E97987,false,STATIC_ONLY,
16,main@09ac397c61b0b462497e9a8c0ea84981cc6a93f9,09ac397c61b0b462497e9a8c0ea84981cc6a93f9,NOT_APPLICABLE_STATIC_AUDIT,STATIC_HASHED_INVENTORY_NO_NUMERIC_DATA,STATIC_FEATURE_SPACE_QUALIFICATION,false,true,TSStd_12h__agg_trade_count,rolling_self_reproduction,TSStd,agg_trade_count,agg_trade_count,agg_trade_count,TRADE_ACTIVITY_COUNT,RESOLVED_CANONICAL_DEPENDENCY_BUCKET,NOT_IDENTIFIABLE_STATICALLY,COUNT,12H_ROLLING,ROLLING_DISPERSION,1,NONE_PROVEN,,0,NONE_PROVEN,STATIC_SPEC_NOT_PROOF_OF_FULL_MATERIALIZATION;STATIC_ONLY_NOT_CURRENT_RUNTIME_LOADED;AGG_MASK_REQUIRED,HISTORICAL_DRY_RUN_FORMATTER_AND_REPLAY_EVALUATOR_RECOVERED,git:1ed5acd:archive/deprecated_crypto_a7_20260527/scripts/scripts/crypto_a7v3_agg_aware_candidate_dry_run.py;git:1ed5acd:archive/deprecated_crypto_a7_20260527/scripts/scripts/crypto_a7v5_small_replay_smoke.py,"TSStd(agg_trade_count,12)",479FF66DC7B4A30848B0DB777FE3C1F2AEAEC66B24004AF035B20726DB35EF3C,false,STATIC_ONLY,
17,main@09ac397c61b0b462497e9a8c0ea84981cc6a93f9,09ac397c61b0b462497e9a8c0ea84981cc6a93f9,NOT_APPLICABLE_STATIC_AUDIT,STATIC_HASHED_INVENTORY_NO_NUMERIC_DATA,STATIC_FEATURE_SPACE_QUALIFICATION,false,true,Delta_12h__agg_trade_count,rolling_self_reproduction,Delta,agg_trade_count,agg_trade_count,agg_trade_count,TRADE_ACTIVITY_COUNT,RESOLVED_CANONICAL_DEPENDENCY_BUCKET,NOT_IDENTIFIABLE_STATICALLY,COUNT,12H_ROLLING,TEMPORAL_DIFFERENCE,1,NONE_PROVEN,,0,NONE_PROVEN,STATIC_SPEC_NOT_PROOF_OF_FULL_MATERIALIZATION;STATIC_ONLY_NOT_CURRENT_RUNTIME_LOADED;AGG_MASK_REQUIRED,HISTORICAL_DRY_RUN_FORMATTER_AND_REPLAY_EVALUATOR_RECOVERED,git:1ed5acd:archive/deprecated_crypto_a7_20260527/scripts/scripts/crypto_a7v3_agg_aware_candidate_dry_run.py;git:1ed5acd:archive/deprecated_crypto_a7_20260527/scripts/scripts/crypto_a7v5_small_replay_smoke.py,"Delta(agg_trade_count,12)",5A6BB81DAD9430DA946763CABA942CA67D269E83C65B349EF678803660E84035,false,STATIC_ONLY,
18,main@09ac397c61b0b462497e9a8c0ea84981cc6a93f9,09ac397c61b0b462497e9a8c0ea84981cc6a93f9,NOT_APPLICABLE_STATIC_AUDIT,STATIC_HASHED_INVENTORY_NO_NUMERIC_DATA,STATIC_FEATURE_SPACE_QUALIFICATION,false,true,Decay_12h__agg_trade_count,rolling_self_reproduction,Decay,agg_trade_count,agg_trade_count,agg_trade_count,TRADE_ACTIVITY_COUNT,RESOLVED_CANONICAL_DEPENDENCY_BUCKET,NOT_IDENTIFIABLE_STATICALLY,COUNT,12H_ROLLING,EXPONENTIAL_SMOOTHING,1,NONE_PROVEN,,0,NONE_PROVEN,STATIC_SPEC_NOT_PROOF_OF_FULL_MATERIALIZATION;STATIC_ONLY_NOT_CURRENT_RUNTIME_LOADED;AGG_MASK_REQUIRED,HISTORICAL_DRY_RUN_FORMATTER_AND_REPLAY_EVALUATOR_RECOVERED,git:1ed5acd:archive/deprecated_crypto_a7_20260527/scripts/scripts/crypto_a7v3_agg_aware_candidate_dry_run.py;git:1ed5acd:archive/deprecated_crypto_a7_20260527/scripts/scripts/crypto_a7v5_small_replay_smoke.py,"Decay(agg_trade_count,12)",BC866CF044B7FBC107E36040286AEABF694835B0292635712C44C71E2B756DF0,false,STATIC_ONLY,
19,main@09ac397c61b0b462497e9a8c0ea84981cc6a93f9,09ac397c61b0b462497e9a8c0ea84981cc6a93f9,NOT_APPLICABLE_STATIC_AUDIT,STATIC_HASHED_INVENTORY_NO_NUMERIC_DATA,STATIC_FEATURE_SPACE_QUALIFICATION,false,true,RollingMin_12h__agg_trade_count,rolling_self_reproduction,RollingMin,agg_trade_count,agg_trade_count,agg_trade_count,TRADE_ACTIVITY_COUNT,RESOLVED_CANONICAL_DEPENDENCY_BUCKET,NOT_IDENTIFIABLE_STATICALLY,COUNT,12H_ROLLING,ROLLING_EXTREME,1,NONE_PROVEN,,0,NONE_PROVEN,STATIC_SPEC_NOT_PROOF_OF_FULL_MATERIALIZATION;STATIC_ONLY_NOT_CURRENT_RUNTIME_LOADED;AGG_MASK_REQUIRED,HISTORICAL_DRY_RUN_FORMATTER_AND_REPLAY_EVALUATOR_RECOVERED,git:1ed5acd:archive/deprecated_crypto_a7_20260527/scripts/scripts/crypto_a7v3_agg_aware_candidate_dry_run.py;git:1ed5acd:archive/deprecated_crypto_a7_20260527/scripts/scripts/crypto_a7v5_small_replay_smoke.py,"RollingMin(agg_trade_count,12)",86C1A910675D5FF52A909B46159C9438C60422B1F69F611ED16C0449B9A69ABA,false,STATIC_ONLY,
20,main@09ac397c61b0b462497e9a8c0ea84981cc6a93f9,09ac397c61b0b462497e9a8c0ea84981cc6a93f9,NOT_APPLICABLE_STATIC_AUDIT,STATIC_HASHED_INVENTORY_NO_NUMERIC_DATA,STATIC_FEATURE_SPACE_QUALIFICATION,false,true,RollingMax_12h__agg_trade_count,rolling_self_reproduction,RollingMax,agg_trade_count,agg_trade_count,agg_trade_count,TRADE_ACTIVITY_COUNT,RESOLVED_CANONICAL_DEPENDENCY_BUCKET,NOT_IDENTIFIABLE_STATICALLY,COUNT,12H_ROLLING,ROLLING_EXTREME,1,NONE_PROVEN,,0,NONE_PROVEN,STATIC_SPEC_NOT_PROOF_OF_FULL_MATERIALIZATION;STATIC_ONLY_NOT_CURRENT_RUNTIME_LOADED;AGG_MASK_REQUIRED,HISTORICAL_DRY_RUN_FORMATTER_AND_REPLAY_EVALUATOR_RECOVERED,git:1ed5acd:archive/deprecated_crypto_a7_20260527/scripts/scripts/crypto_a7v3_agg_aware_candidate_dry_run.py;git:1ed5acd:archive/deprecated_crypto_a7_20260527/scripts/scripts/crypto_a7v5_small_replay_smoke.py,"RollingMax(agg_trade_count,12)",29BDE7D53A34ED97F8BC317BC1A89AA4DC6C129B06E8B9EBE6BBBCD40ABCFF53,false,STATIC_ONLY,
