source_row_ordinal,repo_ref,commit_sha,run_id,data_release,evidence_role,superseded,authoritative_now,field_name,field_family,base_classification,formula_provenance_status,formula_evidence,base_dependency_set,canonical_information_axis,axis_resolution_status,static_independence_status,unit_signature,window_family,nested_derivation_depth,algebraic_equivalence,monotonic_rank_equivalence_risk,scope_restrictions,generator_enabled,runtime_loaded,mapping_status,lineage_status,audit_notes
11,main@09ac397c61b0b462497e9a8c0ea84981cc6a93f9,09ac397c61b0b462497e9a8c0ea84981cc6a93f9,NOT_APPLICABLE_STATIC_AUDIT,STATIC_HASHED_INVENTORY_NO_NUMERIC_DATA,STATIC_FEATURE_SPACE_QUALIFICATION,false,true,agg_buy_notional,flow,RAW_OBSERVATION,CURRENT_BUILDER_SOURCE_COLUMN_DECLARATION,scripts/crypto_a7ai0r_core12_aggtrades_unified_feature_build.py:50-79,agg_buy_notional,AGGRESSOR_NOTIONAL_FLOW,RESOLVED_SOURCE_SEMANTICS_FORMULA_EXTERNAL,NOT_IDENTIFIABLE_STATICALLY,QUOTE_NOTIONAL,1H_AGGREGATE,0,SIDE_MIRROR_PAIR_WITH::agg_sell_notional,MIRROR_DEPENDENCE_RISK_FORMULA_PROVENANCE_REQUIRED,"STATIC_ONLY_NOT_CURRENT_RUNTIME_LOADED;core3_available_rows_only;symbol_scope=BTCUSDT,ETHUSDT,SOLUSDT;available_lag_bars=1",true,false,STATIC_ONLY,REGISTRY_RECOVERED_FORMULA_DETAIL_EXTERNAL,"classification is structural only; no numeric values, returns, selectors, or performance artifacts were read"
12,main@09ac397c61b0b462497e9a8c0ea84981cc6a93f9,09ac397c61b0b462497e9a8c0ea84981cc6a93f9,NOT_APPLICABLE_STATIC_AUDIT,STATIC_HASHED_INVENTORY_NO_NUMERIC_DATA,STATIC_FEATURE_SPACE_QUALIFICATION,false,true,agg_sell_notional,flow,RAW_OBSERVATION,CURRENT_BUILDER_SOURCE_COLUMN_DECLARATION,scripts/crypto_a7ai0r_core12_aggtrades_unified_feature_build.py:50-79,agg_sell_notional,AGGRESSOR_NOTIONAL_FLOW,RESOLVED_SOURCE_SEMANTICS_FORMULA_EXTERNAL,NOT_IDENTIFIABLE_STATICALLY,QUOTE_NOTIONAL,1H_AGGREGATE,0,SIDE_MIRROR_PAIR_WITH::agg_buy_notional,MIRROR_DEPENDENCE_RISK_FORMULA_PROVENANCE_REQUIRED,"STATIC_ONLY_NOT_CURRENT_RUNTIME_LOADED;core3_available_rows_only;symbol_scope=BTCUSDT,ETHUSDT,SOLUSDT;available_lag_bars=1",true,false,STATIC_ONLY,REGISTRY_RECOVERED_FORMULA_DETAIL_EXTERNAL,"classification is structural only; no numeric values, returns, selectors, or performance artifacts were read"
13,main@09ac397c61b0b462497e9a8c0ea84981cc6a93f9,09ac397c61b0b462497e9a8c0ea84981cc6a93f9,NOT_APPLICABLE_STATIC_AUDIT,STATIC_HASHED_INVENTORY_NO_NUMERIC_DATA,STATIC_FEATURE_SPACE_QUALIFICATION,false,true,agg_signed_aggressor_quantity,flow,RAW_OBSERVATION,CURRENT_BUILDER_SOURCE_COLUMN_DECLARATION,scripts/crypto_a7ai0r_core12_aggtrades_unified_feature_build.py:50-79,agg_signed_aggressor_quantity,AGGRESSOR_QUANTITY_FLOW,RESOLVED_SOURCE_SEMANTICS_FORMULA_EXTERNAL,NOT_IDENTIFIABLE_STATICALLY,BASE_ASSET_QUANTITY,1H_AGGREGATE,0,NONE_PROVEN,NONE_PROVEN,"STATIC_ONLY_NOT_CURRENT_RUNTIME_LOADED;core3_available_rows_only;symbol_scope=BTCUSDT,ETHUSDT,SOLUSDT;available_lag_bars=1",true,false,STATIC_ONLY,REGISTRY_RECOVERED_FORMULA_DETAIL_EXTERNAL,"classification is structural only; no numeric values, returns, selectors, or performance artifacts were read"
14,main@09ac397c61b0b462497e9a8c0ea84981cc6a93f9,09ac397c61b0b462497e9a8c0ea84981cc6a93f9,NOT_APPLICABLE_STATIC_AUDIT,STATIC_HASHED_INVENTORY_NO_NUMERIC_DATA,STATIC_FEATURE_SPACE_QUALIFICATION,false,true,agg_signed_aggressor_notional,flow,RAW_OBSERVATION,CURRENT_BUILDER_SOURCE_COLUMN_DECLARATION,scripts/crypto_a7ai0r_core12_aggtrades_unified_feature_build.py:50-79,agg_signed_aggressor_notional,EXECUTED_NOTIONAL,RESOLVED_SOURCE_SEMANTICS_FORMULA_EXTERNAL,NOT_IDENTIFIABLE_STATICALLY,QUOTE_NOTIONAL,1H_AGGREGATE,0,NONE_PROVEN,NONE_PROVEN,"STATIC_ONLY_NOT_CURRENT_RUNTIME_LOADED;core3_available_rows_only;symbol_scope=BTCUSDT,ETHUSDT,SOLUSDT;available_lag_bars=1",true,false,STATIC_ONLY,REGISTRY_RECOVERED_FORMULA_DETAIL_EXTERNAL,"classification is structural only; no numeric values, returns, selectors, or performance artifacts were read"
15,main@09ac397c61b0b462497e9a8c0ea84981cc6a93f9,09ac397c61b0b462497e9a8c0ea84981cc6a93f9,NOT_APPLICABLE_STATIC_AUDIT,STATIC_HASHED_INVENTORY_NO_NUMERIC_DATA,STATIC_FEATURE_SPACE_QUALIFICATION,false,true,agg_trade_count_le_100,activity_liquidity,FORMULA_PROVENANCE_UNRESOLVED,REGISTRY_ONLY_FORMULA_EXTERNAL,feature_lineage_ledger.csv:REGISTRY_RECOVERED_FORMULA_DETAIL_EXTERNAL,UNRESOLVED::agg_trade_count_le_100,UNRESOLVED::agg_trade_count_le_100,UNRESOLVED_FORMULA_OR_SEMANTICS,NOT_IDENTIFIABLE_STATICALLY,COUNT,1H_AGGREGATE,-1,NONE_PROVEN,NONE_PROVEN,"STATIC_ONLY_NOT_CURRENT_RUNTIME_LOADED;core3_available_rows_only;symbol_scope=BTCUSDT,ETHUSDT,SOLUSDT;available_lag_bars=1",true,false,STATIC_ONLY,REGISTRY_RECOVERED_FORMULA_DETAIL_EXTERNAL,"classification is structural only; no numeric values, returns, selectors, or performance artifacts were read"
16,main@09ac397c61b0b462497e9a8c0ea84981cc6a93f9,09ac397c61b0b462497e9a8c0ea84981cc6a93f9,NOT_APPLICABLE_STATIC_AUDIT,STATIC_HASHED_INVENTORY_NO_NUMERIC_DATA,STATIC_FEATURE_SPACE_QUALIFICATION,false,true,agg_trade_count_100_1k,activity_liquidity,FORMULA_PROVENANCE_UNRESOLVED,REGISTRY_ONLY_FORMULA_EXTERNAL,feature_lineage_ledger.csv:REGISTRY_RECOVERED_FORMULA_DETAIL_EXTERNAL,UNRESOLVED::agg_trade_count_100_1k,UNRESOLVED::agg_trade_count_100_1k,UNRESOLVED_FORMULA_OR_SEMANTICS,NOT_IDENTIFIABLE_STATICALLY,COUNT,1H_AGGREGATE,-1,NONE_PROVEN,NONE_PROVEN,"STATIC_ONLY_NOT_CURRENT_RUNTIME_LOADED;core3_available_rows_only;symbol_scope=BTCUSDT,ETHUSDT,SOLUSDT;available_lag_bars=1",true,false,STATIC_ONLY,REGISTRY_RECOVERED_FORMULA_DETAIL_EXTERNAL,"classification is structural only; no numeric values, returns, selectors, or performance artifacts were read"
17,main@09ac397c61b0b462497e9a8c0ea84981cc6a93f9,09ac397c61b0b462497e9a8c0ea84981cc6a93f9,NOT_APPLICABLE_STATIC_AUDIT,STATIC_HASHED_INVENTORY_NO_NUMERIC_DATA,STATIC_FEATURE_SPACE_QUALIFICATION,false,true,agg_trade_count_1k_10k,activity_liquidity,FORMULA_PROVENANCE_UNRESOLVED,REGISTRY_ONLY_FORMULA_EXTERNAL,feature_lineage_ledger.csv:REGISTRY_RECOVERED_FORMULA_DETAIL_EXTERNAL,UNRESOLVED::agg_trade_count_1k_10k,UNRESOLVED::agg_trade_count_1k_10k,UNRESOLVED_FORMULA_OR_SEMANTICS,NOT_IDENTIFIABLE_STATICALLY,COUNT,1H_AGGREGATE,-1,NONE_PROVEN,NONE_PROVEN,"STATIC_ONLY_NOT_CURRENT_RUNTIME_LOADED;core3_available_rows_only;symbol_scope=BTCUSDT,ETHUSDT,SOLUSDT;available_lag_bars=1",true,false,STATIC_ONLY,REGISTRY_RECOVERED_FORMULA_DETAIL_EXTERNAL,"classification is structural only; no numeric values, returns, selectors, or performance artifacts were read"
18,main@09ac397c61b0b462497e9a8c0ea84981cc6a93f9,09ac397c61b0b462497e9a8c0ea84981cc6a93f9,NOT_APPLICABLE_STATIC_AUDIT,STATIC_HASHED_INVENTORY_NO_NUMERIC_DATA,STATIC_FEATURE_SPACE_QUALIFICATION,false,true,agg_trade_count_10k_100k,activity_liquidity,FORMULA_PROVENANCE_UNRESOLVED,REGISTRY_ONLY_FORMULA_EXTERNAL,feature_lineage_ledger.csv:REGISTRY_RECOVERED_FORMULA_DETAIL_EXTERNAL,UNRESOLVED::agg_trade_count_10k_100k,UNRESOLVED::agg_trade_count_10k_100k,UNRESOLVED_FORMULA_OR_SEMANTICS,NOT_IDENTIFIABLE_STATICALLY,COUNT,1H_AGGREGATE,-1,NONE_PROVEN,NONE_PROVEN,"STATIC_ONLY_NOT_CURRENT_RUNTIME_LOADED;core3_available_rows_only;symbol_scope=BTCUSDT,ETHUSDT,SOLUSDT;available_lag_bars=1",true,false,STATIC_ONLY,REGISTRY_RECOVERED_FORMULA_DETAIL_EXTERNAL,"classification is structural only; no numeric values, returns, selectors, or performance artifacts were read"
19,main@09ac397c61b0b462497e9a8c0ea84981cc6a93f9,09ac397c61b0b462497e9a8c0ea84981cc6a93f9,NOT_APPLICABLE_STATIC_AUDIT,STATIC_HASHED_INVENTORY_NO_NUMERIC_DATA,STATIC_FEATURE_SPACE_QUALIFICATION,false,true,agg_trade_count_100k_1m,activity_liquidity,FORMULA_PROVENANCE_UNRESOLVED,REGISTRY_ONLY_FORMULA_EXTERNAL,feature_lineage_ledger.csv:REGISTRY_RECOVERED_FORMULA_DETAIL_EXTERNAL,UNRESOLVED::agg_trade_count_100k_1m,UNRESOLVED::agg_trade_count_100k_1m,UNRESOLVED_FORMULA_OR_SEMANTICS,NOT_IDENTIFIABLE_STATICALLY,COUNT,1H_AGGREGATE,-1,NONE_PROVEN,NONE_PROVEN,"STATIC_ONLY_NOT_CURRENT_RUNTIME_LOADED;core3_available_rows_only;symbol_scope=BTCUSDT,ETHUSDT,SOLUSDT;available_lag_bars=1",true,false,STATIC_ONLY,REGISTRY_RECOVERED_FORMULA_DETAIL_EXTERNAL,"classification is structural only; no numeric values, returns, selectors, or performance artifacts were read"
20,main@09ac397c61b0b462497e9a8c0ea84981cc6a93f9,09ac397c61b0b462497e9a8c0ea84981cc6a93f9,NOT_APPLICABLE_STATIC_AUDIT,STATIC_HASHED_INVENTORY_NO_NUMERIC_DATA,STATIC_FEATURE_SPACE_QUALIFICATION,false,true,agg_trade_count_gt_1m,activity_liquidity,FORMULA_PROVENANCE_UNRESOLVED,REGISTRY_ONLY_FORMULA_EXTERNAL,feature_lineage_ledger.csv:REGISTRY_RECOVERED_FORMULA_DETAIL_EXTERNAL,UNRESOLVED::agg_trade_count_gt_1m,UNRESOLVED::agg_trade_count_gt_1m,UNRESOLVED_FORMULA_OR_SEMANTICS,NOT_IDENTIFIABLE_STATICALLY,COUNT,1H_AGGREGATE,-1,NONE_PROVEN,NONE_PROVEN,"STATIC_ONLY_NOT_CURRENT_RUNTIME_LOADED;core3_available_rows_only;symbol_scope=BTCUSDT,ETHUSDT,SOLUSDT;available_lag_bars=1",true,false,STATIC_ONLY,REGISTRY_RECOVERED_FORMULA_DETAIL_EXTERNAL,"classification is structural only; no numeric values, returns, selectors, or performance artifacts were read"
21,main@09ac397c61b0b462497e9a8c0ea84981cc6a93f9,09ac397c61b0b462497e9a8c0ea84981cc6a93f9,NOT_APPLICABLE_STATIC_AUDIT,STATIC_HASHED_INVENTORY_NO_NUMERIC_DATA,STATIC_FEATURE_SPACE_QUALIFICATION,false,true,agg_notional_le_100,activity_liquidity,FORMULA_PROVENANCE_UNRESOLVED,REGISTRY_ONLY_FORMULA_EXTERNAL,feature_lineage_ledger.csv:REGISTRY_RECOVERED_FORMULA_DETAIL_EXTERNAL,UNRESOLVED::agg_notional_le_100,UNRESOLVED::agg_notional_le_100,UNRESOLVED_FORMULA_OR_SEMANTICS,NOT_IDENTIFIABLE_STATICALLY,QUOTE_NOTIONAL,1H_AGGREGATE,-1,NONE_PROVEN,NONE_PROVEN,"STATIC_ONLY_NOT_CURRENT_RUNTIME_LOADED;core3_available_rows_only;symbol_scope=BTCUSDT,ETHUSDT,SOLUSDT;available_lag_bars=1",true,false,STATIC_ONLY,REGISTRY_RECOVERED_FORMULA_DETAIL_EXTERNAL,"classification is structural only; no numeric values, returns, selectors, or performance artifacts were read"
22,main@09ac397c61b0b462497e9a8c0ea84981cc6a93f9,09ac397c61b0b462497e9a8c0ea84981cc6a93f9,NOT_APPLICABLE_STATIC_AUDIT,STATIC_HASHED_INVENTORY_NO_NUMERIC_DATA,STATIC_FEATURE_SPACE_QUALIFICATION,false,true,agg_notional_100_1k,activity_liquidity,FORMULA_PROVENANCE_UNRESOLVED,REGISTRY_ONLY_FORMULA_EXTERNAL,feature_lineage_ledger.csv:REGISTRY_RECOVERED_FORMULA_DETAIL_EXTERNAL,UNRESOLVED::agg_notional_100_1k,UNRESOLVED::agg_notional_100_1k,UNRESOLVED_FORMULA_OR_SEMANTICS,NOT_IDENTIFIABLE_STATICALLY,QUOTE_NOTIONAL,1H_AGGREGATE,-1,NONE_PROVEN,NONE_PROVEN,"STATIC_ONLY_NOT_CURRENT_RUNTIME_LOADED;core3_available_rows_only;symbol_scope=BTCUSDT,ETHUSDT,SOLUSDT;available_lag_bars=1",true,false,STATIC_ONLY,REGISTRY_RECOVERED_FORMULA_DETAIL_EXTERNAL,"classification is structural only; no numeric values, returns, selectors, or performance artifacts were read"
23,main@09ac397c61b0b462497e9a8c0ea84981cc6a93f9,09ac397c61b0b462497e9a8c0ea84981cc6a93f9,NOT_APPLICABLE_STATIC_AUDIT,STATIC_HASHED_INVENTORY_NO_NUMERIC_DATA,STATIC_FEATURE_SPACE_QUALIFICATION,false,true,agg_notional_1k_10k,activity_liquidity,FORMULA_PROVENANCE_UNRESOLVED,REGISTRY_ONLY_FORMULA_EXTERNAL,feature_lineage_ledger.csv:REGISTRY_RECOVERED_FORMULA_DETAIL_EXTERNAL,UNRESOLVED::agg_notional_1k_10k,UNRESOLVED::agg_notional_1k_10k,UNRESOLVED_FORMULA_OR_SEMANTICS,NOT_IDENTIFIABLE_STATICALLY,QUOTE_NOTIONAL,1H_AGGREGATE,-1,NONE_PROVEN,NONE_PROVEN,"STATIC_ONLY_NOT_CURRENT_RUNTIME_LOADED;core3_available_rows_only;symbol_scope=BTCUSDT,ETHUSDT,SOLUSDT;available_lag_bars=1",true,false,STATIC_ONLY,REGISTRY_RECOVERED_FORMULA_DETAIL_EXTERNAL,"classification is structural only; no numeric values, returns, selectors, or performance artifacts were read"
