field_id,source_field,representation_id,feature_family,frequency,PIT/source_lag,registry_status,search_allowed,runtime_loaded,runtime_entrypoint,consumer_lane,primitive_eligible,portfolio_mapping,notes
Add__agg_large_notional_share_100k_plus__realized_vol_12,agg_large_notional_share_100k_plus;realized_vol_12,agg_derived::interaction_self_reproduction::Add,aggtrades;market_or_funding_control,1h,+1h specification lag,A7V1_DERIVED_SPEC_ARCHIVED_SOURCE,false,false,git:1ed5acd:archive/deprecated_crypto_a7_20260527/scripts/scripts/crypto_a7v1_feature_registry_and_smoke.py,A7V_AGG_AWARE_OPT_IN_DRYRUN,false,not_mapped_current_epoch,Static spec only; historical A7V1 authorization did not permit full search.
Add__agg_large_notional_share_100k_plus__realized_vol_24,agg_large_notional_share_100k_plus;realized_vol_24,agg_derived::interaction_self_reproduction::Add,aggtrades;market_or_funding_control,1h,+1h specification lag,A7V1_DERIVED_SPEC_ARCHIVED_SOURCE,false,false,git:1ed5acd:archive/deprecated_crypto_a7_20260527/scripts/scripts/crypto_a7v1_feature_registry_and_smoke.py,A7V_AGG_AWARE_OPT_IN_DRYRUN,false,not_mapped_current_epoch,Static spec only; historical A7V1 authorization did not permit full search.
Add__agg_large_notional_share_100k_plus__ret_12,agg_large_notional_share_100k_plus;ret_12,agg_derived::interaction_self_reproduction::Add,aggtrades;market_or_funding_control,1h,+1h specification lag,A7V1_DERIVED_SPEC_ARCHIVED_SOURCE,false,false,git:1ed5acd:archive/deprecated_crypto_a7_20260527/scripts/scripts/crypto_a7v1_feature_registry_and_smoke.py,A7V_AGG_AWARE_OPT_IN_DRYRUN,false,not_mapped_current_epoch,Static spec only; historical A7V1 authorization did not permit full search.
Add__agg_large_notional_share_100k_plus__ret_6,agg_large_notional_share_100k_plus;ret_6,agg_derived::interaction_self_reproduction::Add,aggtrades;market_or_funding_control,1h,+1h specification lag,A7V1_DERIVED_SPEC_ARCHIVED_SOURCE,false,false,git:1ed5acd:archive/deprecated_crypto_a7_20260527/scripts/scripts/crypto_a7v1_feature_registry_and_smoke.py,A7V_AGG_AWARE_OPT_IN_DRYRUN,false,not_mapped_current_epoch,Static spec only; historical A7V1 authorization did not permit full search.
Add__agg_notional__latest_known_funding_rate,agg_notional;latest_known_funding_rate,agg_derived::interaction_self_reproduction::Add,aggtrades;market_or_funding_control,1h,+1h specification lag,A7V1_DERIVED_SPEC_ARCHIVED_SOURCE,false,false,git:1ed5acd:archive/deprecated_crypto_a7_20260527/scripts/scripts/crypto_a7v1_feature_registry_and_smoke.py,A7V_AGG_AWARE_OPT_IN_DRYRUN,false,not_mapped_current_epoch,Static spec only; historical A7V1 authorization did not permit full search.
Add__agg_notional__mark_index_ratio,agg_notional;mark_index_ratio,agg_derived::interaction_self_reproduction::Add,aggtrades;market_or_funding_control,1h,+1h specification lag,A7V1_DERIVED_SPEC_ARCHIVED_SOURCE,false,false,git:1ed5acd:archive/deprecated_crypto_a7_20260527/scripts/scripts/crypto_a7v1_feature_registry_and_smoke.py,A7V_AGG_AWARE_OPT_IN_DRYRUN,false,not_mapped_current_epoch,Static spec only; historical A7V1 authorization did not permit full search.
Add__agg_notional__premium_index,agg_notional;premium_index,agg_derived::interaction_self_reproduction::Add,aggtrades;market_or_funding_control,1h,+1h specification lag,A7V1_DERIVED_SPEC_ARCHIVED_SOURCE,false,false,git:1ed5acd:archive/deprecated_crypto_a7_20260527/scripts/scripts/crypto_a7v1_feature_registry_and_smoke.py,A7V_AGG_AWARE_OPT_IN_DRYRUN,false,not_mapped_current_epoch,Static spec only; historical A7V1 authorization did not permit full search.
Add__agg_notional__realized_vol_12,agg_notional;realized_vol_12,agg_derived::interaction_self_reproduction::Add,aggtrades;market_or_funding_control,1h,+1h specification lag,A7V1_DERIVED_SPEC_ARCHIVED_SOURCE,false,false,git:1ed5acd:archive/deprecated_crypto_a7_20260527/scripts/scripts/crypto_a7v1_feature_registry_and_smoke.py,A7V_AGG_AWARE_OPT_IN_DRYRUN,false,not_mapped_current_epoch,Static spec only; historical A7V1 authorization did not permit full search.
Add__agg_notional__realized_vol_24,agg_notional;realized_vol_24,agg_derived::interaction_self_reproduction::Add,aggtrades;market_or_funding_control,1h,+1h specification lag,A7V1_DERIVED_SPEC_ARCHIVED_SOURCE,false,false,git:1ed5acd:archive/deprecated_crypto_a7_20260527/scripts/scripts/crypto_a7v1_feature_registry_and_smoke.py,A7V_AGG_AWARE_OPT_IN_DRYRUN,false,not_mapped_current_epoch,Static spec only; historical A7V1 authorization did not permit full search.
Add__agg_notional__ret_12,agg_notional;ret_12,agg_derived::interaction_self_reproduction::Add,aggtrades;market_or_funding_control,1h,+1h specification lag,A7V1_DERIVED_SPEC_ARCHIVED_SOURCE,false,false,git:1ed5acd:archive/deprecated_crypto_a7_20260527/scripts/scripts/crypto_a7v1_feature_registry_and_smoke.py,A7V_AGG_AWARE_OPT_IN_DRYRUN,false,not_mapped_current_epoch,Static spec only; historical A7V1 authorization did not permit full search.
Add__agg_notional__ret_6,agg_notional;ret_6,agg_derived::interaction_self_reproduction::Add,aggtrades;market_or_funding_control,1h,+1h specification lag,A7V1_DERIVED_SPEC_ARCHIVED_SOURCE,false,false,git:1ed5acd:archive/deprecated_crypto_a7_20260527/scripts/scripts/crypto_a7v1_feature_registry_and_smoke.py,A7V_AGG_AWARE_OPT_IN_DRYRUN,false,not_mapped_current_epoch,Static spec only; historical A7V1 authorization did not permit full search.
Add__agg_price_range_bps__latest_known_funding_rate,agg_price_range_bps;latest_known_funding_rate,agg_derived::interaction_self_reproduction::Add,aggtrades;market_or_funding_control,1h,+1h specification lag,A7V1_DERIVED_SPEC_ARCHIVED_SOURCE,false,false,git:1ed5acd:archive/deprecated_crypto_a7_20260527/scripts/scripts/crypto_a7v1_feature_registry_and_smoke.py,A7V_AGG_AWARE_OPT_IN_DRYRUN,false,not_mapped_current_epoch,Static spec only; historical A7V1 authorization did not permit full search.
Add__agg_price_range_bps__mark_index_ratio,agg_price_range_bps;mark_index_ratio,agg_derived::interaction_self_reproduction::Add,aggtrades;market_or_funding_control,1h,+1h specification lag,A7V1_DERIVED_SPEC_ARCHIVED_SOURCE,false,false,git:1ed5acd:archive/deprecated_crypto_a7_20260527/scripts/scripts/crypto_a7v1_feature_registry_and_smoke.py,A7V_AGG_AWARE_OPT_IN_DRYRUN,false,not_mapped_current_epoch,Static spec only; historical A7V1 authorization did not permit full search.
Add__agg_price_range_bps__premium_index,agg_price_range_bps;premium_index,agg_derived::interaction_self_reproduction::Add,aggtrades;market_or_funding_control,1h,+1h specification lag,A7V1_DERIVED_SPEC_ARCHIVED_SOURCE,false,false,git:1ed5acd:archive/deprecated_crypto_a7_20260527/scripts/scripts/crypto_a7v1_feature_registry_and_smoke.py,A7V_AGG_AWARE_OPT_IN_DRYRUN,false,not_mapped_current_epoch,Static spec only; historical A7V1 authorization did not permit full search.
Add__agg_price_range_bps__realized_vol_12,agg_price_range_bps;realized_vol_12,agg_derived::interaction_self_reproduction::Add,aggtrades;market_or_funding_control,1h,+1h specification lag,A7V1_DERIVED_SPEC_ARCHIVED_SOURCE,false,false,git:1ed5acd:archive/deprecated_crypto_a7_20260527/scripts/scripts/crypto_a7v1_feature_registry_and_smoke.py,A7V_AGG_AWARE_OPT_IN_DRYRUN,false,not_mapped_current_epoch,Static spec only; historical A7V1 authorization did not permit full search.
Add__agg_price_range_bps__realized_vol_24,agg_price_range_bps;realized_vol_24,agg_derived::interaction_self_reproduction::Add,aggtrades;market_or_funding_control,1h,+1h specification lag,A7V1_DERIVED_SPEC_ARCHIVED_SOURCE,false,false,git:1ed5acd:archive/deprecated_crypto_a7_20260527/scripts/scripts/crypto_a7v1_feature_registry_and_smoke.py,A7V_AGG_AWARE_OPT_IN_DRYRUN,false,not_mapped_current_epoch,Static spec only; historical A7V1 authorization did not permit full search.
Add__agg_price_range_bps__ret_12,agg_price_range_bps;ret_12,agg_derived::interaction_self_reproduction::Add,aggtrades;market_or_funding_control,1h,+1h specification lag,A7V1_DERIVED_SPEC_ARCHIVED_SOURCE,false,false,git:1ed5acd:archive/deprecated_crypto_a7_20260527/scripts/scripts/crypto_a7v1_feature_registry_and_smoke.py,A7V_AGG_AWARE_OPT_IN_DRYRUN,false,not_mapped_current_epoch,Static spec only; historical A7V1 authorization did not permit full search.
Add__agg_price_range_bps__ret_6,agg_price_range_bps;ret_6,agg_derived::interaction_self_reproduction::Add,aggtrades;market_or_funding_control,1h,+1h specification lag,A7V1_DERIVED_SPEC_ARCHIVED_SOURCE,false,false,git:1ed5acd:archive/deprecated_crypto_a7_20260527/scripts/scripts/crypto_a7v1_feature_registry_and_smoke.py,A7V_AGG_AWARE_OPT_IN_DRYRUN,false,not_mapped_current_epoch,Static spec only; historical A7V1 authorization did not permit full search.
Add__agg_signed_flow_z_24h__latest_known_funding_rate,agg_signed_flow_z_24h;latest_known_funding_rate,agg_derived::interaction_self_reproduction::Add,aggtrades;market_or_funding_control,1h,+1h specification lag,A7V1_DERIVED_SPEC_ARCHIVED_SOURCE,false,false,git:1ed5acd:archive/deprecated_crypto_a7_20260527/scripts/scripts/crypto_a7v1_feature_registry_and_smoke.py,A7V_AGG_AWARE_OPT_IN_DRYRUN,false,not_mapped_current_epoch,Static spec only; historical A7V1 authorization did not permit full search.
Add__agg_signed_flow_z_24h__mark_index_ratio,agg_signed_flow_z_24h;mark_index_ratio,agg_derived::interaction_self_reproduction::Add,aggtrades;market_or_funding_control,1h,+1h specification lag,A7V1_DERIVED_SPEC_ARCHIVED_SOURCE,false,false,git:1ed5acd:archive/deprecated_crypto_a7_20260527/scripts/scripts/crypto_a7v1_feature_registry_and_smoke.py,A7V_AGG_AWARE_OPT_IN_DRYRUN,false,not_mapped_current_epoch,Static spec only; historical A7V1 authorization did not permit full search.
Add__agg_signed_flow_z_24h__premium_index,agg_signed_flow_z_24h;premium_index,agg_derived::interaction_self_reproduction::Add,aggtrades;market_or_funding_control,1h,+1h specification lag,A7V1_DERIVED_SPEC_ARCHIVED_SOURCE,false,false,git:1ed5acd:archive/deprecated_crypto_a7_20260527/scripts/scripts/crypto_a7v1_feature_registry_and_smoke.py,A7V_AGG_AWARE_OPT_IN_DRYRUN,false,not_mapped_current_epoch,Static spec only; historical A7V1 authorization did not permit full search.
Add__agg_signed_flow_z_24h__realized_vol_12,agg_signed_flow_z_24h;realized_vol_12,agg_derived::interaction_self_reproduction::Add,aggtrades;market_or_funding_control,1h,+1h specification lag,A7V1_DERIVED_SPEC_ARCHIVED_SOURCE,false,false,git:1ed5acd:archive/deprecated_crypto_a7_20260527/scripts/scripts/crypto_a7v1_feature_registry_and_smoke.py,A7V_AGG_AWARE_OPT_IN_DRYRUN,false,not_mapped_current_epoch,Static spec only; historical A7V1 authorization did not permit full search.
Add__agg_signed_flow_z_24h__realized_vol_24,agg_signed_flow_z_24h;realized_vol_24,agg_derived::interaction_self_reproduction::Add,aggtrades;market_or_funding_control,1h,+1h specification lag,A7V1_DERIVED_SPEC_ARCHIVED_SOURCE,false,false,git:1ed5acd:archive/deprecated_crypto_a7_20260527/scripts/scripts/crypto_a7v1_feature_registry_and_smoke.py,A7V_AGG_AWARE_OPT_IN_DRYRUN,false,not_mapped_current_epoch,Static spec only; historical A7V1 authorization did not permit full search.
Add__agg_signed_flow_z_24h__ret_12,agg_signed_flow_z_24h;ret_12,agg_derived::interaction_self_reproduction::Add,aggtrades;market_or_funding_control,1h,+1h specification lag,A7V1_DERIVED_SPEC_ARCHIVED_SOURCE,false,false,git:1ed5acd:archive/deprecated_crypto_a7_20260527/scripts/scripts/crypto_a7v1_feature_registry_and_smoke.py,A7V_AGG_AWARE_OPT_IN_DRYRUN,false,not_mapped_current_epoch,Static spec only; historical A7V1 authorization did not permit full search.
Add__agg_signed_flow_z_24h__ret_6,agg_signed_flow_z_24h;ret_6,agg_derived::interaction_self_reproduction::Add,aggtrades;market_or_funding_control,1h,+1h specification lag,A7V1_DERIVED_SPEC_ARCHIVED_SOURCE,false,false,git:1ed5acd:archive/deprecated_crypto_a7_20260527/scripts/scripts/crypto_a7v1_feature_registry_and_smoke.py,A7V_AGG_AWARE_OPT_IN_DRYRUN,false,not_mapped_current_epoch,Static spec only; historical A7V1 authorization did not permit full search.
CrossSymbolRank_core3__agg_avg_agg_trade_notional,agg_avg_agg_trade_notional,agg_derived::cross_symbol_self_reproduction_core3::CrossSymbolRank,activity_liquidity,1h,+1h specification lag,A7V1_DERIVED_SPEC_ARCHIVED_SOURCE,false,false,git:1ed5acd:archive/deprecated_crypto_a7_20260527/scripts/scripts/crypto_a7v1_feature_registry_and_smoke.py,A7V_AGG_AWARE_OPT_IN_DRYRUN,false,not_mapped_current_epoch,Static spec only; historical A7V1 authorization did not permit full search.
CrossSymbolRank_core3__agg_avg_trade_notional_24h,agg_avg_trade_notional_24h,agg_derived::cross_symbol_self_reproduction_core3::CrossSymbolRank,rolling,1h,+1h specification lag,A7V1_DERIVED_SPEC_ARCHIVED_SOURCE,false,false,git:1ed5acd:archive/deprecated_crypto_a7_20260527/scripts/scripts/crypto_a7v1_feature_registry_and_smoke.py,A7V_AGG_AWARE_OPT_IN_DRYRUN,false,not_mapped_current_epoch,Static spec only; historical A7V1 authorization did not permit full search.
CrossSymbolRank_core3__agg_avg_trade_notional_4h,agg_avg_trade_notional_4h,agg_derived::cross_symbol_self_reproduction_core3::CrossSymbolRank,rolling,1h,+1h specification lag,A7V1_DERIVED_SPEC_ARCHIVED_SOURCE,false,false,git:1ed5acd:archive/deprecated_crypto_a7_20260527/scripts/scripts/crypto_a7v1_feature_registry_and_smoke.py,A7V_AGG_AWARE_OPT_IN_DRYRUN,false,not_mapped_current_epoch,Static spec only; historical A7V1 authorization did not permit full search.
CrossSymbolRank_core3__agg_avg_underlying_trade_notional,agg_avg_underlying_trade_notional,agg_derived::cross_symbol_self_reproduction_core3::CrossSymbolRank,activity_liquidity,1h,+1h specification lag,A7V1_DERIVED_SPEC_ARCHIVED_SOURCE,false,false,git:1ed5acd:archive/deprecated_crypto_a7_20260527/scripts/scripts/crypto_a7v1_feature_registry_and_smoke.py,A7V_AGG_AWARE_OPT_IN_DRYRUN,false,not_mapped_current_epoch,Static spec only; historical A7V1 authorization did not permit full search.
CrossSymbolRank_core3__agg_buy_agg_trade_count,agg_buy_agg_trade_count,agg_derived::cross_symbol_self_reproduction_core3::CrossSymbolRank,flow,1h,+1h specification lag,A7V1_DERIVED_SPEC_ARCHIVED_SOURCE,false,false,git:1ed5acd:archive/deprecated_crypto_a7_20260527/scripts/scripts/crypto_a7v1_feature_registry_and_smoke.py,A7V_AGG_AWARE_OPT_IN_DRYRUN,false,not_mapped_current_epoch,Static spec only; historical A7V1 authorization did not permit full search.
CrossSymbolRank_core3__agg_buy_notional,agg_buy_notional,agg_derived::cross_symbol_self_reproduction_core3::CrossSymbolRank,flow,1h,+1h specification lag,A7V1_DERIVED_SPEC_ARCHIVED_SOURCE,false,false,git:1ed5acd:archive/deprecated_crypto_a7_20260527/scripts/scripts/crypto_a7v1_feature_registry_and_smoke.py,A7V_AGG_AWARE_OPT_IN_DRYRUN,false,not_mapped_current_epoch,Static spec only; historical A7V1 authorization did not permit full search.
CrossSymbolRank_core3__agg_buy_notional_share,agg_buy_notional_share,agg_derived::cross_symbol_self_reproduction_core3::CrossSymbolRank,flow,1h,+1h specification lag,A7V1_DERIVED_SPEC_ARCHIVED_SOURCE,false,false,git:1ed5acd:archive/deprecated_crypto_a7_20260527/scripts/scripts/crypto_a7v1_feature_registry_and_smoke.py,A7V_AGG_AWARE_OPT_IN_DRYRUN,false,not_mapped_current_epoch,Static spec only; historical A7V1 authorization did not permit full search.
CrossSymbolRank_core3__agg_buy_quantity,agg_buy_quantity,agg_derived::cross_symbol_self_reproduction_core3::CrossSymbolRank,flow,1h,+1h specification lag,A7V1_DERIVED_SPEC_ARCHIVED_SOURCE,false,false,git:1ed5acd:archive/deprecated_crypto_a7_20260527/scripts/scripts/crypto_a7v1_feature_registry_and_smoke.py,A7V_AGG_AWARE_OPT_IN_DRYRUN,false,not_mapped_current_epoch,Static spec only; historical A7V1 authorization did not permit full search.
CrossSymbolRank_core3__agg_buy_sell_notional_ratio,agg_buy_sell_notional_ratio,agg_derived::cross_symbol_self_reproduction_core3::CrossSymbolRank,flow,1h,+1h specification lag,A7V1_DERIVED_SPEC_ARCHIVED_SOURCE,false,false,git:1ed5acd:archive/deprecated_crypto_a7_20260527/scripts/scripts/crypto_a7v1_feature_registry_and_smoke.py,A7V_AGG_AWARE_OPT_IN_DRYRUN,false,not_mapped_current_epoch,Static spec only; historical A7V1 authorization did not permit full search.
CrossSymbolRank_core3__agg_buy_sell_vwap_spread_bps,agg_buy_sell_vwap_spread_bps,agg_derived::cross_symbol_self_reproduction_core3::CrossSymbolRank,price_microstructure,1h,+1h specification lag,A7V1_DERIVED_SPEC_ARCHIVED_SOURCE,false,false,git:1ed5acd:archive/deprecated_crypto_a7_20260527/scripts/scripts/crypto_a7v1_feature_registry_and_smoke.py,A7V_AGG_AWARE_OPT_IN_DRYRUN,false,not_mapped_current_epoch,Static spec only; historical A7V1 authorization did not permit full search.
CrossSymbolRank_core3__agg_buy_underlying_trade_count,agg_buy_underlying_trade_count,agg_derived::cross_symbol_self_reproduction_core3::CrossSymbolRank,flow,1h,+1h specification lag,A7V1_DERIVED_SPEC_ARCHIVED_SOURCE,false,false,git:1ed5acd:archive/deprecated_crypto_a7_20260527/scripts/scripts/crypto_a7v1_feature_registry_and_smoke.py,A7V_AGG_AWARE_OPT_IN_DRYRUN,false,not_mapped_current_epoch,Static spec only; historical A7V1 authorization did not permit full search.
CrossSymbolRank_core3__agg_buy_vwap,agg_buy_vwap,agg_derived::cross_symbol_self_reproduction_core3::CrossSymbolRank,price_microstructure,1h,+1h specification lag,A7V1_DERIVED_SPEC_ARCHIVED_SOURCE,false,false,git:1ed5acd:archive/deprecated_crypto_a7_20260527/scripts/scripts/crypto_a7v1_feature_registry_and_smoke.py,A7V_AGG_AWARE_OPT_IN_DRYRUN,false,not_mapped_current_epoch,Static spec only; historical A7V1 authorization did not permit full search.
CrossSymbolRank_core3__agg_close_price,agg_close_price,agg_derived::cross_symbol_self_reproduction_core3::CrossSymbolRank,price_microstructure,1h,+1h specification lag,A7V1_DERIVED_SPEC_ARCHIVED_SOURCE,false,false,git:1ed5acd:archive/deprecated_crypto_a7_20260527/scripts/scripts/crypto_a7v1_feature_registry_and_smoke.py,A7V_AGG_AWARE_OPT_IN_DRYRUN,false,not_mapped_current_epoch,Static spec only; historical A7V1 authorization did not permit full search.
CrossSymbolRank_core3__agg_close_to_open_bps,agg_close_to_open_bps,agg_derived::cross_symbol_self_reproduction_core3::CrossSymbolRank,price_microstructure,1h,+1h specification lag,A7V1_DERIVED_SPEC_ARCHIVED_SOURCE,false,false,git:1ed5acd:archive/deprecated_crypto_a7_20260527/scripts/scripts/crypto_a7v1_feature_registry_and_smoke.py,A7V_AGG_AWARE_OPT_IN_DRYRUN,false,not_mapped_current_epoch,Static spec only; historical A7V1 authorization did not permit full search.
CrossSymbolRank_core3__agg_close_to_open_bps_sum_24h,agg_close_to_open_bps_sum_24h,agg_derived::cross_symbol_self_reproduction_core3::CrossSymbolRank,rolling,1h,+1h specification lag,A7V1_DERIVED_SPEC_ARCHIVED_SOURCE,false,false,git:1ed5acd:archive/deprecated_crypto_a7_20260527/scripts/scripts/crypto_a7v1_feature_registry_and_smoke.py,A7V_AGG_AWARE_OPT_IN_DRYRUN,false,not_mapped_current_epoch,Static spec only; historical A7V1 authorization did not permit full search.
CrossSymbolRank_core3__agg_close_to_open_bps_sum_4h,agg_close_to_open_bps_sum_4h,agg_derived::cross_symbol_self_reproduction_core3::CrossSymbolRank,rolling,1h,+1h specification lag,A7V1_DERIVED_SPEC_ARCHIVED_SOURCE,false,false,git:1ed5acd:archive/deprecated_crypto_a7_20260527/scripts/scripts/crypto_a7v1_feature_registry_and_smoke.py,A7V_AGG_AWARE_OPT_IN_DRYRUN,false,not_mapped_current_epoch,Static spec only; historical A7V1 authorization did not permit full search.
CrossSymbolRank_core3__agg_flow_accel_4h_vs_24h,agg_flow_accel_4h_vs_24h,agg_derived::cross_symbol_self_reproduction_core3::CrossSymbolRank,rolling,1h,+1h specification lag,A7V1_DERIVED_SPEC_ARCHIVED_SOURCE,false,false,git:1ed5acd:archive/deprecated_crypto_a7_20260527/scripts/scripts/crypto_a7v1_feature_registry_and_smoke.py,A7V_AGG_AWARE_OPT_IN_DRYRUN,false,not_mapped_current_epoch,Static spec only; historical A7V1 authorization did not permit full search.
CrossSymbolRank_core3__agg_flow_imbalance_notional,agg_flow_imbalance_notional,agg_derived::cross_symbol_self_reproduction_core3::CrossSymbolRank,flow,1h,+1h specification lag,A7V1_DERIVED_SPEC_ARCHIVED_SOURCE,false,false,git:1ed5acd:archive/deprecated_crypto_a7_20260527/scripts/scripts/crypto_a7v1_feature_registry_and_smoke.py,A7V_AGG_AWARE_OPT_IN_DRYRUN,false,not_mapped_current_epoch,Static spec only; historical A7V1 authorization did not permit full search.
CrossSymbolRank_core3__agg_flow_imbalance_notional_24h,agg_flow_imbalance_notional_24h,agg_derived::cross_symbol_self_reproduction_core3::CrossSymbolRank,rolling,1h,+1h specification lag,A7V1_DERIVED_SPEC_ARCHIVED_SOURCE,false,false,git:1ed5acd:archive/deprecated_crypto_a7_20260527/scripts/scripts/crypto_a7v1_feature_registry_and_smoke.py,A7V_AGG_AWARE_OPT_IN_DRYRUN,false,not_mapped_current_epoch,Static spec only; historical A7V1 authorization did not permit full search.
CrossSymbolRank_core3__agg_flow_imbalance_notional_4h,agg_flow_imbalance_notional_4h,agg_derived::cross_symbol_self_reproduction_core3::CrossSymbolRank,rolling,1h,+1h specification lag,A7V1_DERIVED_SPEC_ARCHIVED_SOURCE,false,false,git:1ed5acd:archive/deprecated_crypto_a7_20260527/scripts/scripts/crypto_a7v1_feature_registry_and_smoke.py,A7V_AGG_AWARE_OPT_IN_DRYRUN,false,not_mapped_current_epoch,Static spec only; historical A7V1 authorization did not permit full search.
CrossSymbolRank_core3__agg_flow_imbalance_qty,agg_flow_imbalance_qty,agg_derived::cross_symbol_self_reproduction_core3::CrossSymbolRank,flow,1h,+1h specification lag,A7V1_DERIVED_SPEC_ARCHIVED_SOURCE,false,false,git:1ed5acd:archive/deprecated_crypto_a7_20260527/scripts/scripts/crypto_a7v1_feature_registry_and_smoke.py,A7V_AGG_AWARE_OPT_IN_DRYRUN,false,not_mapped_current_epoch,Static spec only; historical A7V1 authorization did not permit full search.
