field_name,field_group,generator_base_field,role,feature_available_time_rule
agg_avg_trade_notional_24h,rolling,True,feature,available_after_hour_close_plus_join_lag
agg_price_range_bps_max_24h,rolling,True,feature,available_after_hour_close_plus_join_lag
agg_close_to_open_bps_sum_24h,rolling,True,feature,available_after_hour_close_plus_join_lag
agg_notional_shock_24h_mad,rolling,True,feature,available_after_hour_close_plus_join_lag
agg_signed_flow_z_24h,rolling,True,feature,available_after_hour_close_plus_join_lag
agg_notional_accel_4h_vs_24h,rolling,True,feature,available_after_hour_close_plus_join_lag
agg_flow_accel_4h_vs_24h,rolling,True,feature,available_after_hour_close_plus_join_lag
agg_universe_notional,cross_symbol,True,feature,available_after_hour_close_plus_join_lag
agg_universe_signed_notional,cross_symbol,True,feature,available_after_hour_close_plus_join_lag
agg_universe_large_notional,cross_symbol,True,feature,available_after_hour_close_plus_join_lag
agg_cross_symbol_notional_share,cross_symbol,True,feature,available_after_hour_close_plus_join_lag
agg_cross_symbol_signed_flow_share,cross_symbol,True,feature,available_after_hour_close_plus_join_lag
agg_cross_symbol_large_notional_share,cross_symbol,True,feature,available_after_hour_close_plus_join_lag
agg_btcusdt_flow_imbalance_4h,cross_symbol,True,feature,available_after_hour_close_plus_join_lag
agg_flow_minus_btcusdt_4h,cross_symbol,True,feature,available_after_hour_close_plus_join_lag
agg_ethusdt_flow_imbalance_4h,cross_symbol,True,feature,available_after_hour_close_plus_join_lag
agg_flow_minus_ethusdt_4h,cross_symbol,True,feature,available_after_hour_close_plus_join_lag
agg_features_available,availability_or_schema,False,availability,available_after_hour_close_plus_join_lag
agg_feature_schema,availability_or_schema,False,schema,available_after_hour_close_plus_join_lag
