a7input_queue,semantic_pair,decision,label_family,row_count
interaction_alpha,basis_premium_like|basis_premium_like,A7INPUT3_NUMERIC_CLUE,L0_raw_forward_return,5
interaction_alpha,basis_premium_like|basis_premium_like,A7INPUT3_NUMERIC_CLUE,L1_cross_sectional_relative_return,4
ordinary_alpha,basis_premium_like|volatility_like,A7INPUT3_NUMERIC_CLUE,L0_raw_forward_return,4
ordinary_alpha,basis_premium_like|basis_premium_like,A7INPUT3_NUMERIC_CLUE,L3_liquidity_tier_relative_return,4
interaction_alpha,basis_premium_like|basis_premium_like,A7INPUT3_NUMERIC_CLUE,L5_vol_adjusted_return,3
ordinary_alpha,price_like|volatility_like,A7INPUT3_NUMERIC_CLUE,L5_vol_adjusted_return,2
ordinary_alpha,price_like|volatility_like,A7INPUT3_NUMERIC_CLUE,L1_cross_sectional_relative_return,2
interaction_alpha,price_like|volatility_like,A7INPUT3_NUMERIC_CLUE,L5_vol_adjusted_return,1
interaction_alpha,price_like|volatility_like,A7INPUT3_NUMERIC_CLUE,L1_cross_sectional_relative_return,1
interaction_alpha,price_like|volatility_like,A7INPUT3_NUMERIC_CLUE,L0_raw_forward_return,1
interaction_alpha,volatility_like|volatility_like,A7INPUT3_RANK_LABEL_DIAGNOSTIC_CLUE,L7_ranked_future_return,1
interaction_alpha,price_like|volatility_like,A7INPUT3_NUMERIC_CLUE,L3_liquidity_tier_relative_return,1
ordinary_alpha,price_like|volatility_like,A7INPUT3_NUMERIC_CLUE,L0_raw_forward_return,1
ordinary_alpha,price_like|volatility_like,A7INPUT3_NUMERIC_CLUE,L3_liquidity_tier_relative_return,1
