expression_skeleton,candidate_count,input_field_set_count,diagnostic_clue_count,example_expression
"Mul(Abs(Delta(F,8)),Sign(Delta(F,8)))",6,6,0,"Mul(Abs(Delta(mark_close,8)),Sign(Delta(trade_return_1h,8)))"
"Mul(CSRank(F),Sign(Delta(F,24)))",6,6,0,"Mul(CSRank(mark_trade_basis_bps),Sign(Delta(trade_close,24)))"
"Sub(ZScore(Mean(F,8)),ZScore(Mean(F,32)))",6,6,0,"Sub(ZScore(Mean(mark_close,8)),ZScore(Mean(trade_return_1h,32)))"
"Delta(F,4)",5,5,1,"Delta(mark_index_basis_bps,4)"
"Clip(ZScore(Delta(F,24)),-3,3)",4,4,1,"Clip(ZScore(Delta(index_close,24)),-3,3)"
"CSRank(Delta(F,8))",4,4,0,"CSRank(Delta(funding_rate,8))"
"Sub(ZScore(Mean(F,72)),ZScore(Mean(F,288)))",4,4,0,"Sub(ZScore(Mean(funding_rate,72)),ZScore(Mean(taker_buy_quote_volume,288)))"
"Mul(Clip(ZScore(Delta(F,168)),-3,3),Sign(Delta(F,168)))",3,3,2,"Mul(Clip(ZScore(Delta(funding_rate,168)),-3,3),Sign(Delta(funding_rate_abs_168h,168)))"
"Mul(CSRank(F),Sign(Delta(F,72)))",3,3,0,"Mul(CSRank(mark_trade_basis_bps),Sign(Delta(premium_close_bps,72)))"
"Mul(Delta(F,8),ZScore(Delta(F,8)))",3,3,0,"Mul(Delta(funding_rate_abs_168h,8),ZScore(Delta(trade_close,8)))"
"Sub(ZScore(Mean(F,168)),ZScore(Mean(F,336)))",3,3,0,"Sub(ZScore(Mean(funding_rate,168)),ZScore(Mean(funding_rate,336)))"
"Delta(F,8)",2,2,1,"Delta(mark_trade_basis_bps,8)"
"Abs(Delta(F,24))",2,2,0,"Abs(Delta(trade_close,24))"
"Abs(Delta(F,8))",2,2,0,"Abs(Delta(funding_rate,8))"
"CSRank(Delta(F,24))",2,2,0,"CSRank(Delta(index_close,24))"
"Mul(CSRank(Delta(F,168)),Sign(Delta(F,168)))",2,2,0,"Mul(CSRank(Delta(index_close,168)),Sign(Delta(mark_index_basis_bps,168)))"
"Mul(Clip(ZScore(Delta(F,72)),-3,3),Sign(Delta(F,72)))",2,2,0,"Mul(Clip(ZScore(Delta(index_close,72)),-3,3),Sign(Delta(mark_index_basis_bps,72)))"
"Delta(F,24)",1,1,1,"Delta(mark_trade_basis_bps,24)"
"Mul(ZScore(F),Sign(Delta(F,72)))",1,1,1,"Mul(ZScore(index_close),Sign(Delta(mark_index_basis_bps,72)))"
"CSRank(Delta(F,72))",1,1,0,"CSRank(Delta(index_close,72))"
"Clip(ZScore(Delta(F,8)),-3,3)",1,1,0,"Clip(ZScore(Delta(funding_rate,8)),-3,3)"
"Delta(F,168)",1,1,0,"Delta(funding_rate_abs_168h,168)"
"Mul(Abs(Delta(F,72)),Sign(Delta(F,72)))",1,1,0,"Mul(Abs(Delta(funding_rate,72)),Sign(Delta(taker_buy_quote_volume,72)))"
"Mul(CSRank(F),Sign(Delta(F,168)))",1,1,0,"Mul(CSRank(funding_rate),Sign(Delta(funding_rate_abs_168h,168)))"
"Mul(ZScore(F),Sign(Delta(F,168)))",1,1,0,"Mul(ZScore(funding_rate),Sign(Delta(funding_rate_abs_168h,168)))"
"Sub(ZScore(Mean(F,24)),ZScore(Mean(F,96)))",1,1,0,"Sub(ZScore(Mean(age_percentile_active_universe,24)),ZScore(Mean(execution_time,96)))"
