field_name,source_class,source_detail,event_time,source_update_time,observable_time,feature_available_time_primary,execution_time_primary,latency_class,primary_execution_lag,required_latency_audit,must_lag_by_one_bar,fixed_delay_stress_required,same_bar_execution_allowed,pit_status,caveat
open_interest_value_mean,metrics_positioning,Binance metrics 5m aggregated to 1h,5m vendor metric create_time inside 1h bucket,vendor 5m create_time plus jitter; A7S1 warning applies,"latest 5m observation in hour, conservatively no earlier than bucket_end",timestamp + 1h,timestamp + 1h / next 1h bar open,metrics_positioning,timestamp + 1h / next 1h bar open,"field-native availability, wrong-lag controls, and no same-bar execution",True,False,False,PIT_VALID_IF_PLUS_1H_AND_FIELD_NATIVE_LATENCY_AUDIT_PASS,vendor 5m jitter/gap warning; field-native latency audit required; fixed delay stress prohibited
premium_close,mark_index_premium,Binance mark/index/premium 1h,"1h mark/index/premium kline bucket [timestamp, timestamp+1h)",Binance 1h kline close,bucket_end,timestamp + 1h,timestamp + 1h / next 1h bar open,mark_index_premium,timestamp + 1h / next 1h bar open,"field-native availability, wrong-lag controls, and no same-bar execution",True,False,False,PIT_VALID_IF_PLUS_1H_AND_FIELD_NATIVE_LATENCY_AUDIT_PASS,bar-close feature; same-bar execution forbidden
premium_close_bps,derived_replay_base,derived from accepted source fields,"1h trade kline bucket [timestamp, timestamp+1h)",Binance 1h kline close,bucket_end,timestamp + 1h,timestamp + 1h / next 1h bar open,derived_replay_base,timestamp + 1h / next 1h bar open,"field-native availability, wrong-lag controls, and no same-bar execution",True,False,False,PIT_VALID_IF_PLUS_1H_AND_FIELD_NATIVE_LATENCY_AUDIT_PASS,bar-close feature; same-bar execution forbidden
premium_high,mark_index_premium,Binance mark/index/premium 1h,"1h mark/index/premium kline bucket [timestamp, timestamp+1h)",Binance 1h kline close,bucket_end,timestamp + 1h,timestamp + 1h / next 1h bar open,mark_index_premium,timestamp + 1h / next 1h bar open,"field-native availability, wrong-lag controls, and no same-bar execution",True,False,False,PIT_VALID_IF_PLUS_1H_AND_FIELD_NATIVE_LATENCY_AUDIT_PASS,bar-close feature; same-bar execution forbidden
premium_low,mark_index_premium,Binance mark/index/premium 1h,"1h mark/index/premium kline bucket [timestamp, timestamp+1h)",Binance 1h kline close,bucket_end,timestamp + 1h,timestamp + 1h / next 1h bar open,mark_index_premium,timestamp + 1h / next 1h bar open,"field-native availability, wrong-lag controls, and no same-bar execution",True,False,False,PIT_VALID_IF_PLUS_1H_AND_FIELD_NATIVE_LATENCY_AUDIT_PASS,bar-close feature; same-bar execution forbidden
premium_open,mark_index_premium,Binance mark/index/premium 1h,"1h mark/index/premium kline bucket [timestamp, timestamp+1h)",Binance 1h kline close,bucket_end,timestamp + 1h,timestamp + 1h / next 1h bar open,mark_index_premium,timestamp + 1h / next 1h bar open,"field-native availability, wrong-lag controls, and no same-bar execution",True,False,False,PIT_VALID_IF_PLUS_1H_AND_FIELD_NATIVE_LATENCY_AUDIT_PASS,bar-close feature; same-bar execution forbidden
taker_buy_quote_volume,trade_ohlcv,Binance futures trade kline 1h,"1h trade kline bucket [timestamp, timestamp+1h)",Binance 1h kline close,bucket_end,timestamp + 1h,timestamp + 1h / next 1h bar open,trade_ohlcv,timestamp + 1h / next 1h bar open,"field-native availability, wrong-lag controls, and no same-bar execution",True,False,False,PIT_VALID_IF_PLUS_1H_AND_FIELD_NATIVE_LATENCY_AUDIT_PASS,bar-close feature; same-bar execution forbidden
taker_buy_sell_volume_ratio_last,metrics_positioning,Binance metrics 5m aggregated to 1h,5m vendor metric create_time inside 1h bucket,vendor 5m create_time plus jitter; A7S1 warning applies,"latest 5m observation in hour, conservatively no earlier than bucket_end",timestamp + 1h,timestamp + 1h / next 1h bar open,metrics_positioning,timestamp + 1h / next 1h bar open,"field-native availability, wrong-lag controls, and no same-bar execution",True,False,False,PIT_VALID_IF_PLUS_1H_AND_FIELD_NATIVE_LATENCY_AUDIT_PASS,vendor 5m jitter/gap warning; field-native latency audit required; fixed delay stress prohibited
taker_buy_sell_volume_ratio_mean,metrics_positioning,Binance metrics 5m aggregated to 1h,5m vendor metric create_time inside 1h bucket,vendor 5m create_time plus jitter; A7S1 warning applies,"latest 5m observation in hour, conservatively no earlier than bucket_end",timestamp + 1h,timestamp + 1h / next 1h bar open,metrics_positioning,timestamp + 1h / next 1h bar open,"field-native availability, wrong-lag controls, and no same-bar execution",True,False,False,PIT_VALID_IF_PLUS_1H_AND_FIELD_NATIVE_LATENCY_AUDIT_PASS,vendor 5m jitter/gap warning; field-native latency audit required; fixed delay stress prohibited
taker_buy_volume,trade_ohlcv,Binance futures trade kline 1h,"1h trade kline bucket [timestamp, timestamp+1h)",Binance 1h kline close,bucket_end,timestamp + 1h,timestamp + 1h / next 1h bar open,trade_ohlcv,timestamp + 1h / next 1h bar open,"field-native availability, wrong-lag controls, and no same-bar execution",True,False,False,PIT_VALID_IF_PLUS_1H_AND_FIELD_NATIVE_LATENCY_AUDIT_PASS,bar-close feature; same-bar execution forbidden
top_long_short_account_ratio_last,metrics_positioning,Binance metrics 5m aggregated to 1h,5m vendor metric create_time inside 1h bucket,vendor 5m create_time plus jitter; A7S1 warning applies,"latest 5m observation in hour, conservatively no earlier than bucket_end",timestamp + 1h,timestamp + 1h / next 1h bar open,metrics_positioning,timestamp + 1h / next 1h bar open,"field-native availability, wrong-lag controls, and no same-bar execution",True,False,False,PIT_VALID_IF_PLUS_1H_AND_FIELD_NATIVE_LATENCY_AUDIT_PASS,vendor 5m jitter/gap warning; field-native latency audit required; fixed delay stress prohibited
top_long_short_account_ratio_mean,metrics_positioning,Binance metrics 5m aggregated to 1h,5m vendor metric create_time inside 1h bucket,vendor 5m create_time plus jitter; A7S1 warning applies,"latest 5m observation in hour, conservatively no earlier than bucket_end",timestamp + 1h,timestamp + 1h / next 1h bar open,metrics_positioning,timestamp + 1h / next 1h bar open,"field-native availability, wrong-lag controls, and no same-bar execution",True,False,False,PIT_VALID_IF_PLUS_1H_AND_FIELD_NATIVE_LATENCY_AUDIT_PASS,vendor 5m jitter/gap warning; field-native latency audit required; fixed delay stress prohibited
top_long_short_position_ratio_last,metrics_positioning,Binance metrics 5m aggregated to 1h,5m vendor metric create_time inside 1h bucket,vendor 5m create_time plus jitter; A7S1 warning applies,"latest 5m observation in hour, conservatively no earlier than bucket_end",timestamp + 1h,timestamp + 1h / next 1h bar open,metrics_positioning,timestamp + 1h / next 1h bar open,"field-native availability, wrong-lag controls, and no same-bar execution",True,False,False,PIT_VALID_IF_PLUS_1H_AND_FIELD_NATIVE_LATENCY_AUDIT_PASS,vendor 5m jitter/gap warning; field-native latency audit required; fixed delay stress prohibited
top_long_short_position_ratio_mean,metrics_positioning,Binance metrics 5m aggregated to 1h,5m vendor metric create_time inside 1h bucket,vendor 5m create_time plus jitter; A7S1 warning applies,"latest 5m observation in hour, conservatively no earlier than bucket_end",timestamp + 1h,timestamp + 1h / next 1h bar open,metrics_positioning,timestamp + 1h / next 1h bar open,"field-native availability, wrong-lag controls, and no same-bar execution",True,False,False,PIT_VALID_IF_PLUS_1H_AND_FIELD_NATIVE_LATENCY_AUDIT_PASS,vendor 5m jitter/gap warning; field-native latency audit required; fixed delay stress prohibited
trade_close,trade_ohlcv,Binance futures trade kline 1h,"1h trade kline bucket [timestamp, timestamp+1h)",Binance 1h kline close,bucket_end,timestamp + 1h,timestamp + 1h / next 1h bar open,trade_ohlcv,timestamp + 1h / next 1h bar open,"field-native availability, wrong-lag controls, and no same-bar execution",True,False,False,PIT_VALID_IF_PLUS_1H_AND_FIELD_NATIVE_LATENCY_AUDIT_PASS,bar-close feature; same-bar execution forbidden
trade_count,trade_ohlcv,Binance futures trade kline 1h,"1h trade kline bucket [timestamp, timestamp+1h)",Binance 1h kline close,bucket_end,timestamp + 1h,timestamp + 1h / next 1h bar open,trade_ohlcv,timestamp + 1h / next 1h bar open,"field-native availability, wrong-lag controls, and no same-bar execution",True,False,False,PIT_VALID_IF_PLUS_1H_AND_FIELD_NATIVE_LATENCY_AUDIT_PASS,bar-close feature; same-bar execution forbidden
trade_high,trade_ohlcv,Binance futures trade kline 1h,"1h trade kline bucket [timestamp, timestamp+1h)",Binance 1h kline close,bucket_end,timestamp + 1h,timestamp + 1h / next 1h bar open,trade_ohlcv,timestamp + 1h / next 1h bar open,"field-native availability, wrong-lag controls, and no same-bar execution",True,False,False,PIT_VALID_IF_PLUS_1H_AND_FIELD_NATIVE_LATENCY_AUDIT_PASS,bar-close feature; same-bar execution forbidden
trade_low,trade_ohlcv,Binance futures trade kline 1h,"1h trade kline bucket [timestamp, timestamp+1h)",Binance 1h kline close,bucket_end,timestamp + 1h,timestamp + 1h / next 1h bar open,trade_ohlcv,timestamp + 1h / next 1h bar open,"field-native availability, wrong-lag controls, and no same-bar execution",True,False,False,PIT_VALID_IF_PLUS_1H_AND_FIELD_NATIVE_LATENCY_AUDIT_PASS,bar-close feature; same-bar execution forbidden
trade_open,trade_ohlcv,Binance futures trade kline 1h,"1h trade kline bucket [timestamp, timestamp+1h)",Binance 1h kline close,bucket_end,timestamp + 1h,timestamp + 1h / next 1h bar open,trade_ohlcv,timestamp + 1h / next 1h bar open,"field-native availability, wrong-lag controls, and no same-bar execution",True,False,False,PIT_VALID_IF_PLUS_1H_AND_FIELD_NATIVE_LATENCY_AUDIT_PASS,bar-close feature; same-bar execution forbidden
trade_quote_volume,trade_ohlcv,Binance futures trade kline 1h,"1h trade kline bucket [timestamp, timestamp+1h)",Binance 1h kline close,bucket_end,timestamp + 1h,timestamp + 1h / next 1h bar open,trade_ohlcv,timestamp + 1h / next 1h bar open,"field-native availability, wrong-lag controls, and no same-bar execution",True,False,False,PIT_VALID_IF_PLUS_1H_AND_FIELD_NATIVE_LATENCY_AUDIT_PASS,bar-close feature; same-bar execution forbidden
trade_volume,trade_ohlcv,Binance futures trade kline 1h,"1h trade kline bucket [timestamp, timestamp+1h)",Binance 1h kline close,bucket_end,timestamp + 1h,timestamp + 1h / next 1h bar open,trade_ohlcv,timestamp + 1h / next 1h bar open,"field-native availability, wrong-lag controls, and no same-bar execution",True,False,False,PIT_VALID_IF_PLUS_1H_AND_FIELD_NATIVE_LATENCY_AUDIT_PASS,bar-close feature; same-bar execution forbidden
